State Date       Time   Providers Details
IL    2022-04-14 09-18  -15       ['IL,Bloomington,61701,Walgreens Store #15164', 'IL,Chatham,62629,Walgreens Store #09580', 'IL,Chicago,60657,Walgreens Store #03949', 'IL,Crestwood,60418,Medication Management Partners Llc', 'IL,Forest Park,60130,Walgreens Store #03960', 'IL,Glenview,60025,Walgreens Store #04611', 'IL,Mundelein,60060,Walgreens Store #10122', 'IL,New Lenox,60451,Walgreens Store #04032', 'IL,Peoria,61603,Osf Medi-Park Pharmacy', 'IL,Peru,61354,Walgreens Store #06554', 'IL,Rockford,61103,Walgreens Store #03283', 'IL,Roscoe,61073,Walgreens Store #06001', 'IL,Skokie,60076,Walgreens Store #15562', 'IL,Springfield,62703,Walgreens Store #03901', 'IL,Wood River,62095,The Medicine Shoppe #62']
IL    2022-04-15 06-03  +6        ['IL,Addison,60101,Sams Pharmacy #6487', 'IL,Bloomingdale,60108,Meijer Store 198', 'IL,Chicago,60638,Walgreens Store #03321', 'IL,Mattoon,61938,Walgreens Store #05444', 'IL,Naperville,60540,Walgreens Store #03405', 'IL,Woodridge,60517,Medwiz Pharmacy Of Illinois']
IL    2022-04-15 06-03  -9        ['IL,Chicago,60645,Walgreens Store #00252', 'IL,Chicago,60654,Cvs Store #00788', 'IL,Chicago,60659,Walgreens Store #13454', 'IL,Decatur,62526,Walgreens Store #09792', 'IL,Lake Bluff,60044,Walgreens Store #06819', 'IL,Lisle,60532,Walgreens Store #07212', 'IL,Litchfield,62056,Walgreens Store #10718', 'IL,Northfield,60093,Walgreens Store #03926', 'IL,Paris,61944,Cvs Store #06694']
IL    2022-04-16 05-33  +11       ['IL,Chicago,60622,Cvs Store #08745', 'IL,Crystal Lake,60014,Cvs Store #10628', 'IL,Decatur,62526,Walgreens Store #05545', 'IL,Forest Park,60130,Walgreens Store #03960', 'IL,Highland Park,60035,Cvs Store #05960', 'IL,Lisle,60532,Walgreens Store #07212', 'IL,Mundelein,60060,Walgreens Store #04778', 'IL,Peoria,61603,Osf Medi-Park Pharmacy', 'IL,Peru,61354,Walgreens Store #06554', 'IL,Rockford,61103,Walgreens Store #03283', 'IL,Streamwood,60107,Walgreens Store #03927']
IL    2022-04-16 05-33  -8        ['IL,Chicago,60616,Cvs Store #08738', 'IL,Evanston,60201,Cvs Store #08760', 'IL,Evanston,60202,Amita Saint Francis Hospital', 'IL,Evanston,60202,Cvs Store #04778', 'IL,Highwood,60040,Walgreens Store #05543', 'IL,Moline,61265,Walgreens Store #03633', 'IL,Orland Park,60467,Walgreens Store #11224', 'IL,Rockford,61107,Walgreens Store #09127']
IL    2022-04-17 05-32  -1        ['IL,Galesburg,61401,Knox Community Health Center']
IL    2022-04-19 05-39  +10       ['IL,Chicago,60616,Cvs Store #08738', 'IL,Chicago,60645,Walgreens Store #00252', 'IL,Des Plaines,60016,Walgreens Store #05711', 'IL,Elk Grove Village,60007,Alexian Brothers Hospital - Op Phar', 'IL,Moline,61265,Walgreens Store #03633', 'IL,Morton Grove,60053,Walgreens Store #05364', 'IL,Mundelein,60060,Walgreens Store #10122', 'IL,New Lenox,60451,Walgreens Store #04032', 'IL,Orland Park,60467,Walgreens Store #11224', 'IL,Wheeling,60090,Walgreens Store #05609']
IL    2022-04-19 05-39  -6        ['IL,Arlington Heights,60005,Walgreens Store #03512', 'IL,Belleville,62226,Express Specialty Pharmacy', 'IL,Mundelein,60060,Walgreens Store #04778', 'IL,Naperville,60564,Walgreens Store #03780', 'IL,Rock Island,61201,Walgreens Store #04332', 'IL,Western Springs,60558,Walgreens Store #05384']
IL    2022-04-20 05-27  +1        ['IL,Evanston,60202,Amita Saint Francis Hospital']
IL    2022-04-21 05-29  +98       ['IL,Alton,62002,Cvs Store #18032', 'IL,Arlington Heights,60005,Walgreens Store #03512', 'IL,Belleville,62226,Cvs Store #17396', 'IL,Belleville,62226,Cvs Store #18009', 'IL,Bloomington,61704,Cvs Store #18077', 'IL,Bolingbrook,60440,Cvs Store #16305', 'IL,Bourbonnais,60914,Cvs Store #16327', 'IL,Cahokia,62206,Cvs Store #18033', 'IL,Canton,61520,Cvs Store #06444', 'IL,Carbondale,62901,Cvs Store #06390', 'IL,Carbondale,62901,Cvs Store #18085', 'IL,Carmi,62821,Cvs Store #06886', 'IL,Cary,60013,Cvs Store #05619', 'IL,Champaign,61821,Cvs Store #18078', 'IL,Champaign,61822,Cvs Store #16362', 'IL,Chicago,60607,Cvs Store #11376', 'IL,Chicago,60608,Cvs Store #17166', 'IL,Chicago,60615,Cvs Store #17686', 'IL,Chicago,60616,Jovive Health', 'IL,Chicago,60618,Cvs Store #16771', 'IL,Chicago,60622,Cvs Store #08740', 'IL,Chicago,60623,Cvs Store #08741', 'IL,Chicago,60626,Cvs Store #08980', 'IL,Chicago,60629,Cvs Store #16285', 'IL,Chicago,60630,Cvs Store #17760', 'IL,Chicago,60632,Cvs Store #16999', 'IL,Chicago,60640,Cvs Store #17437', 'IL,Chicago,60641,Cvs Store #05681', 'IL,Chicago,60647,Cvs Store #08735', 'IL,Chicago,60647,Cvs Store #17761', 'IL,Chicago,60654,Cvs Store #00788', 'IL,Chicago,60707,Cvs Store #17042', 'IL,Cicero,60804,Cvs Store #08742', 'IL,Cicero,60804,Cvs Store #16219', 'IL,Columbia,62236,Cvs Store #06866', 'IL,Columbia,62236,Walgreens Store #05608', 'IL,Decatur,62526,Cvs Store #17068', 'IL,Dekalb,60115,Cvs Store #17575', 'IL,Elgin,60123,Cvs Store #16278', 'IL,Evanston,60201,Cvs Store #03901', 'IL,Evanston,60201,Cvs Store #08760', 'IL,Evanston,60201,Cvs Store #17733', 'IL,Evanston,60202,Cvs Store #04778', 'IL,Fairview Heights,62208,Cvs Store #18030', 'IL,Freeport,61032,Cvs Store #08533', 'IL,Galesburg,61401,Cvs Store #16324', 'IL,Gilman,60938,Cvs Store #10627', 'IL,Glenview,60025,Cvs Store #16528', 'IL,Granite City,62040,Cvs Store #18069', 'IL,Highland,62249,Cvs Store #06926', 'IL,Hillside,60162,Cvs Store #17536', 'IL,Hodgkins,60525,Cvs Store #16287', 'IL,Hoffman Estates,60169,St Alexius Medical Center Inpatient', 'IL,Homewood,60430,Cvs Store #16792', 'IL,Joliet,60435,Cvs Store #16326', 'IL,Lake In The Hills,60156,Cvs Store #07970', 'IL,Long Grove,60047,Cvs Store #08946', 'IL,Machesney Park,61115,Cvs Store #16922', 'IL,Manteno,60950,Cvs Store #10680', 'IL,Melrose Park,60160,Cvs Store #16281', 'IL,Mokena,60448,Cvs Store #07760', 'IL,Moline,61265,Cvs Store #16348', 'IL,Momence,60954,Cvs Store #10736', 'IL,New Lenox,60451,Cvs Store #10889', 'IL,Niles,60714,Cvs Store #16350', 'IL,Niles,60714,Cvs Store #16492', 'IL,Norridge,60706,Cvs Store #17008', 'IL,North Aurora,60542,Cvs Store #17257', 'IL,O Fallon,62269,Cvs Store #18038', 'IL,Oak Lawn,60453,Cvs Store #17175', 'IL,Oak Park,60301,Cvs Store #17717', 'IL,Palatine,60074,Cvs Store #16229', 'IL,Peoria,61606,Cvs Store #06455', 'IL,Peoria,61615,Cvs Store #16308', 'IL,Peoria,61615,Cvs Store #18092', 'IL,Peru,61354,Cvs Store #16351', 'IL,Quincy,62301,Cvs Store #08636', 'IL,Rantoul,61866,Cvs Store #06933', 'IL,River Forest,60305,Walgreens Store #03076', 'IL,Rockford,61104,Cvs Store #18098', 'IL,Rockford,61107,Walgreens Store #09127', 'IL,Rockford,61108,Cvs Store #16258', 'IL,Rockford,61108,Cvs Store #18097', 'IL,Rockford,61112,Cvs Store #18096', 'IL,Rosemont,60018,Cvs Store #16682', 'IL,Savoy,61874,Walmart Pharmacy #3255', 'IL,Schaumburg,60194,Cvs Store #16279', 'IL,Skokie,60077,Cvs Store #17706', 'IL,Springfield,62703,Cvs Store #18072', 'IL,Springfield,62704,Cvs Store #16196', 'IL,Sterling,61081,Cvs Store #08663', 'IL,Urbana,61802,Cvs Store #18083', 'IL,Villa Park,60181,Cvs Store #16369', 'IL,Waukegan,60087,Cvs Store #16451', 'IL,Wilmette,60091,Cvs Store #10052', 'IL,Wood Dale,60191,Cvs Store #16325', 'IL,Woodridge,60517,Cvs Store #16304', 'IL,Yorkville,60560,Cvs Store #17442']
IL    2022-04-21 05-29  -20       ['IL,Buffalo Grove,60089,Walgreens Store #04067', 'IL,Chicago,60621,St. Bernard Hospital', 'IL,Chicago,60628,Walgreens Store #05123', 'IL,Chicago,60654,Walgreens Store #03072', 'IL,Chicago,60655,Walgreens Store #07360', 'IL,Geneva,60134,Walgreens Store #04179', 'IL,Grayslake,60030,Walgreens Store #05106', 'IL,Greenville,62246,Cvs Store #06930', 'IL,Hoffman Estates,60169,Saint Alexius Medical Center', 'IL,Lemont,60439,Walgreens Store #03710', 'IL,Lincolnshire,60069,Walgreens Store #05256', 'IL,Moline,61265,Walgreens Store #03633', 'IL,Naperville,60564,Walgreens Store #06508', 'IL,Naperville,60565,Walgreens Store #13456', 'IL,Niles,60714,Walgreens Store #05542', 'IL,Oak Park,60302,Walgreens Store #11760', 'IL,Olympia Fields,60461,Walgreens Store #03651', 'IL,Rockford,61109,Cvs Store #08529', 'IL,Skokie,60076,Cvs Store #05978', 'IL,Wheeling,60090,Walgreens Store #04941']
IL    2022-04-22 05-26  +11       ['IL,Champaign,61821,Cvs Store #08686', 'IL,Chicago,60622,Cvs Store #05394', 'IL,Chicago,60630,Cvs Store #08756', 'IL,Chicago,60640,Cvs Store #01493', 'IL,Crestwood,60445,Cvs Store #16306', 'IL,Glen Ellyn,60137,Cvs Store #11139', 'IL,Glendale Heights,60139,Cvs Store #16280', 'IL,Havana,62644,Cvs Store #07610', 'IL,Hillsboro,62049,Cvs Store #06932', 'IL,Paris,61944,Cvs Store #06694', 'IL,Skokie,60076,Cvs Store #08757']
IL    2022-04-22 05-26  -1        ['IL,Watseka,60970,Cvs Store #06679']
IL    2022-04-23 05-25  +8        ['IL,Des Plaines,60018,Omnicare Of Northern Illinois', 'IL,Evanston,60201,Simply Pure Rx', 'IL,Galesburg,61401,Knox Community Health Center', 'IL,Lemont,60439,Walgreens Store #03710', 'IL,Naperville,60564,Walgreens Store #06508', 'IL,Peoria,61614,Walgreens Store #06408', 'IL,Peoria,61636,Methodist Medical Center Of Il', 'IL,Rock Island,61201,Walgreens Store #04332']
IL    2022-04-23 05-25  -24       ['IL,Algonquin,60102,Walgreens Store #05284', 'IL,Arlington Heights,60005,Walgreens Store #03512', 'IL,Bloomington,61701,Walgreens Store #11828', 'IL,Buffalo Grove,60089,Walgreens Store #04988', 'IL,Chicago,60607,Walgreens Store #04461', 'IL,Chicago,60611,Walgreens Store #15525', 'IL,Chicago,60618,Walgreens Store #00259', 'IL,Chicago,60621,Beloved Community Fam Wellness Ctr', 'IL,Chicago,60645,Walgreens Store #00252', 'IL,Chicago,60659,Walgreens Store #06980', 'IL,Downers Grove,60515,Walgreens Store #04636', 'IL,Hoffman Estates,60169,St Alexius Medical Center Inpatient', 'IL,Hoffman Estates,60169,Walgreens Store #03433', 'IL,Joliet,60435,Walgreens Store #03929', 'IL,Lockport,60441,Walgreens Store #06703', 'IL,Moline,61265,Trinity Retail Pharmacy', 'IL,Mount Prospect,60056,Walgreens Store #05107', 'IL,Palatine,60067,Walgreens Store #07754', 'IL,River Forest,60305,Walgreens Store #03076', 'IL,Rockford,61107,Walgreens Store #09127', 'IL,Romeoville,60446,Walgreens Store #11195', 'IL,St Charles,60174,Walgreens Store #07292', 'IL,Waukegan,60085,Walgreens Store #03078', 'IL,Wheaton,60189,Walgreens Store #13861']
IL    2022-04-25 05-22  -2        ['IL,Anna,62906,Medicap Pharmacy 8319', 'IL,Flossmoor,60422,Precise Healthcare Solutions Llc']
IL    2022-04-26 05-20  +20       ['IL,Algonquin,60102,Walgreens Store #05284', 'IL,Braidwood,60408,Cvs Store #10553', 'IL,Buffalo Grove,60089,Walgreens Store #04067', 'IL,Chicago,60607,Walgreens Store #04461', 'IL,Chicago,60625,Walgreens Store #12150', 'IL,Chicago,60628,Walgreens Store #05123', 'IL,Coal City,60416,Cvs Store #10599', 'IL,Deerfield,60015,Walgreens Store #05045', 'IL,Golden,62339,Denman Country Drug', 'IL,Lindenhurst,60046,Walgreens Store #06905', 'IL,Lockport,60441,Walgreens Store #06703', 'IL,Naperville,60564,Walgreens Store #03780', 'IL,Norridge,60706,Walgreens Store #05962', 'IL,Palatine,60067,Walgreens Store #07754', 'IL,Pittsfield,62363,Illini Health Services', 'IL,Quincy,62301,The Brown Drug Company', 'IL,Rockford,61104,Walgreens Store #06002', 'IL,Warrenville,60555,Walgreens Store #09925', 'IL,Waukegan,60085,Walgreens Store #03078', 'IL,Wilmington,60481,Cvs Store #10761']
IL    2022-04-26 05-20  -22       ['IL,Aurora,60502,Walgreens Store #04151', 'IL,Aurora,60504,Walgreens Store #03014', 'IL,Belleville,62226,Cvs Store #17396', 'IL,Chicago,60617,Walgreens Store #05192', 'IL,Chicago,60618,Walgreens Store #05057', 'IL,Chicago,60624,Walgreens Store #03395', 'IL,Chicago,60630,Walgreens Store #09709', 'IL,Chicago,60657,Amita St. Joseph Hospital', 'IL,Columbia,62236,Walgreens Store #05608', 'IL,Crystal Lake,60014,Walgreens Store #06746', 'IL,Elk Grove Village,60007,Walgreens Store #05735', 'IL,Galesburg,61401,Walgreens Store #04504', 'IL,Kankakee,60901,Amita Health St Mary Hospital Kanka', 'IL,Lincolnwood,60712,Walgreens Store #09358', 'IL,Mundelein,60060,Walgreens Store #05830', 'IL,Niles,60714,Walgreens Store #05282', 'IL,Northlake,60164,Walgreens Store #03995', 'IL,Oak Lawn,60453,Walgreens Store #05713', 'IL,Palatine,60074,Walgreens Store #03940', 'IL,Vernon Hills,60061,Walgreens Store #04674', 'IL,Wheaton,60187,Walgreens Store #15471', 'IL,Wheeling,60090,Walgreens Store #05609']
IL    2022-04-27 05-23  +60       ['IL,Algonquin,60102,Cvs Store #16924', 'IL,Beecher,60401,Cvs Store #10537', 'IL,Belleville,62221,Cvs Store #18048', 'IL,Bethalto,62010,Cvs Store #18039', 'IL,Centralia,62801,Cvs Store #18091', 'IL,Chicago,60601,Cvs Store #04781', 'IL,Chicago,60603,Cvs Store #17643', 'IL,Chicago,60604,Cvs Store #10942', 'IL,Chicago,60606,Cvs Store #02934', 'IL,Chicago,60610,Cvs Store #02981', 'IL,Chicago,60610,Cvs Store #03742', 'IL,Chicago,60611,Cvs Store #11410', 'IL,Chicago,60611,Cvs Store #17677', 'IL,Chicago,60613,Cvs Store #11402', 'IL,Chicago,60614,Cvs Store #17683', 'IL,Chicago,60614,Cvs Store #17783', 'IL,Chicago,60657,Cvs Store #05001', 'IL,Chicago,60657,Cvs Store #17698', 'IL,Chicago,60657,Cvs Store #17711', 'IL,Chicago,60661,Cvs Store #01054', 'IL,Chillicothe,61523,Cvs Store #06450', 'IL,Clinton,61727,Cvs Store #06931', 'IL,Collinsville,62234,Cvs Store #18013', 'IL,Crystal Lake,60014,Cvs Store #16527', 'IL,Dwight,60420,Cvs Store #10607', 'IL,East Peoria,61611,Cvs Store #17656', 'IL,Edwardsville,62025,Cvs Store #18059', 'IL,El Paso,61738,Cvs Store #10623', 'IL,Eureka,61530,Cvs Store #06458', 'IL,Fairview Heights,62208,Cvs Store #17473', 'IL,Gurnee,60031,Cvs Store #16303', 'IL,Harrisburg,62946,Cvs Store #03188', 'IL,Herscher,60941,Cvs Store #10674', 'IL,Hoffman Estates,60192,Cvs Store #17205', 'IL,Lake Zurich,60047,Cvs Store #16421', 'IL,Lemont,60439,Cvs Store #16568', 'IL,Lombard,60148,Cvs Store #16412', 'IL,Mahomet,61853,Cvs Store #06935', 'IL,Metamora,61548,Cvs Store #11205', 'IL,Morton,61550,Cvs Store #06452', 'IL,Naperville,60540,Cvs Store #16284', 'IL,New Lenox,60451,Cvs Store #17121', 'IL,Newton,62448,Cvs Store #06693', 'IL,Orland Park,60462,Cvs Store #16286', 'IL,Oswego,60543,Cvs Store #16741', 'IL,Peoria,61614,Cvs Store #18084', 'IL,Plainfield,60585,Cvs Store #16742', 'IL,Rockford,61109,Cvs Store #08529', 'IL,Saint Charles,60174,Cvs Store #16664', 'IL,Savoy,61874,Cvs Store #18089', 'IL,Shiloh,62269,Cvs Store #16869', 'IL,Shorewood,60404,Cvs Store #17001', 'IL,Skokie,60076,Cvs Store #05978', 'IL,Springfield,62702,Cvs Store #06857', 'IL,Springfield,62704,Cvs Store #18081', 'IL,Swansea,62226,Cvs Store #18014', 'IL,Waterloo,62298,Cvs Store #18063', 'IL,Watseka,60970,Cvs Store #06679', 'IL,Wheaton,60187,Cvs Store #16282', 'IL,Wheeling,60090,Cvs Store #16724']
IL    2022-04-27 05-23  -3        ['IL,Kankakee,60901,Cvs Store #02663', 'IL,Olney,62450,Cvs Store #06371', 'IL,Westville,61883,Cvs Store #06924']
IL    2022-04-28 09-22  +20       ['IL,Aurora,60504,Walgreens Store #03014', 'IL,Chicago,60611,Walgreens Store #00211', 'IL,Chicago,60617,Walgreens Store #05192', 'IL,Chicago,60621,Beloved Community Fam Wellness Ctr', 'IL,Chicago,60631,Apex Health Management Services', 'IL,Chicago,60643,Walgreens Store #09357', 'IL,Chicago,60645,Walgreens Store #00252', 'IL,Crestwood,60418,Medication Management Partners', 'IL,Crystal Lake,60014,Walgreens Store #06746', 'IL,Downers Grove,60516,Walgreens Store #02720', 'IL,Elk Grove Village,60007,Walgreens Store #05735', 'IL,Galesburg,61401,Walgreens Store #04504', 'IL,Glenview,60025,Walgreens Store #05683', 'IL,Grayslake,60030,Grayslake Apothecary', 'IL,Northlake,60164,Walgreens Store #03995', 'IL,Oak Lawn,60453,Walgreens Store #05713', 'IL,Rockford,61107,Walgreens Store #09127', 'IL,Romeoville,60446,Walmart Pharmacy #4531', 'IL,St Charles,60174,Walgreens Store #07292', 'IL,Western Springs,60558,Walgreens Store #05384']
IL    2022-04-28 09-22  -33       ['IL,Arlington Heights,60004,Walgreens Store #09246', 'IL,Arlington Heights,60005,Walgreens Store #05594', 'IL,Berwyn,60402,Walgreens Store #11154', 'IL,Carol Stream,60188,Walgreens Store #03993', 'IL,Chicago,60607,Walgreens Store #04461', 'IL,Chicago,60614,Walgreens Store #00178', 'IL,Chicago,60625,Walgreens Store #00194', 'IL,Chicago,60634,Walgreens Store #04862', 'IL,Chicago,60641,Walgreens Store #04936', 'IL,Chicago,60647,Walgreens Store #12304', 'IL,Chicago,60656,Walgreens Store #07515', 'IL,Chicago,60657,Walgreens Store #15493', 'IL,Chicago,60660,Walgreens Store #15197', 'IL,Deerfield,60015,Walgreens Store #05045', 'IL,Des Plaines,60016,Walgreens Store #05711', 'IL,Des Plaines,60016,Walgreens Store #06601', 'IL,Elgin,60123,Walgreens Store #07100', 'IL,Glen Ellyn,60137,Walgreens Store #05927', 'IL,Hoffman Estates,60169,Walgreens Store #06760', 'IL,Hoffman Estates,60192,Walgreens Store #05553', 'IL,La Grange,60525,Walgreens Store #05670', 'IL,Libertyville,60048,Walgreens Store #05257', 'IL,Libertyville,60048,Walgreens Store #05258', 'IL,Naperville,60564,Walgreens Store #05515', 'IL,Oak Park,60304,Walgreens Store #05235', 'IL,Palatine,60067,Walgreens Store #07754', 'IL,Park Ridge,60068,Walgreens Store #04540', 'IL,Schaumburg,60194,Walgreens Store #09506', 'IL,South Elgin,60177,Walgreens Store #04463', 'IL,Springfield,62704,Walgreens Store #02071', 'IL,West Chicago,60185,Walgreens Store #04069', 'IL,Westmont,60559,Walgreens Store #05275', 'IL,Wheaton,60187,Walgreens Store #07419']
IL    2022-04-29 05-13  +18       ['IL,Arlington Heights,60004,Cvs Store #16534', 'IL,Batavia,60510,Cvs Store #16283', 'IL,Chicago,60601,Cvs Store #08910', 'IL,Chicago,60605,Cvs Store #04061', 'IL,Chicago,60606,Cvs Store #08731', 'IL,Chicago,60611,Walgreens Store #15525', 'IL,Chicago,60614,Cvs Store #02942', 'IL,Chicago,60614,Cvs Store #03690', 'IL,Chicago,60657,Walgreens Store #15493', 'IL,Godfrey,62035,Cvs Store #18066', 'IL,Greenville,62246,Cvs Store #06930', 'IL,Highland Park,60035,Cvs Store #16529', 'IL,Lake Bluff,60044,Cvs Store #17670', 'IL,Normal,61761,Cvs Store #08043', 'IL,Peotone,60468,Cvs Store #10737', 'IL,Schaumburg,60173,Cvs Store #16316', 'IL,South Elgin,60177,Walgreens Store #04463', 'IL,Streamwood,60107,Cvs Store #17067']
IL    2022-04-29 05-13  -23       ['IL,Addison,60101,Walgreens Store #05468', 'IL,Buffalo Grove,60089,Walgreens Store #04067', 'IL,Chicago,60645,Walgreens Store #00252', 'IL,Chicago,60660,Walgreens Store #04542', 'IL,Darien,60561,Walgreens Store #09033', 'IL,Des Plaines,60018,Omnicare Of N Illinois #48241', 'IL,Elk Grove Village,60007,Walgreens Store #04438', 'IL,Elmwood Park,60707,Walgreens Store #13826', 'IL,Glenview,60025,Walgreens Store #05683', 'IL,Glenview,60026,Glenbrook Hospital', 'IL,Grayslake,60030,Walgreens Store #02985', 'IL,Gurnee,60031,Walgreens Store #04097', 'IL,Lake In The Hills,60156,Walgreens Store #03406', 'IL,Lemont,60439,Cvs Store #03256', 'IL,Morton Grove,60053,Walgreens Store #04503', 'IL,Naperville,60565,Walgreens Store #02335', 'IL,Norridge,60706,Walgreens Store #11332', 'IL,North Aurora,60542,Cvs Store #17257', 'IL,Northlake,60164,Walgreens Store #03995', 'IL,Park Ridge,60068,Walgreens Store #15907', 'IL,Peoria,61606,Cvs Store #06455', 'IL,Villa Park,60181,Walgreens Store #03994', 'IL,Wilmette,60091,Cvs Store #10052']
IL    2022-04-30 05-15  +56       ['IL,Arlington Heights,60004,Marianos Pharmacy 53100501', 'IL,Aurora,60504,Marianos Pharmacy 53100519', 'IL,Aurora,60506,Osco Pharmacy', 'IL,Bannockburn,60015,Marianos Pharmacy 53100542', 'IL,Belleville,62226,Cvs Store #17396', 'IL,Bethalto,62010,Wellcreek Pharmacy  Bethalto', 'IL,Bloomingdale,60108,Marianos Pharmacy 53100540', 'IL,Chicago,60623,Mexicare Pharmacy', 'IL,Chicago,60643,Osco Pharmacy', 'IL,Chicago,60647,Armitage Pharmacy Inc', 'IL,Chicago,60654,Cvs Store #11090', 'IL,Chicago,60656,Walgreens Store #07515', 'IL,Columbia,62236,Walgreens Store #05608', 'IL,Crystal Lake,60014,Marianos Pharmacy 53100544', 'IL,Decatur,62526,Kroger Pharmacy 02100922', 'IL,Des Plaines,60016,Marianos Pharmacy 53100541', 'IL,Evergreen Park,60805,Evergreen Park Pharmacy', 'IL,Frankfort,60423,Marianos Pharmacy 53100509', 'IL,Geneseo,61254,Vorac Pharmacy', 'IL,Glenview,60025,Marianos Pharmacy 53100518', 'IL,Gurnee,60031,Marianos Pharmacy 53100523', 'IL,Harrisburg,62946,Kroger Pharmacy 02400642', 'IL,Highland Park,60035,Osco Pharmacy', 'IL,Joliet,60435,St Jude Pharmacy', 'IL,Kankakee,60901,Cvs Store #02663', 'IL,Lake Zurich,60047,Marianos Pharmacy 53100514', 'IL,Lombard,60148,Marianos Pharmacy 53100543', 'IL,Mundelein,60060,Walgreens Store #04778', 'IL,Naperville,60540,Marianos Pharmacy 53100537', 'IL,Naperville,60564,Osco Pharmacy', 'IL,Naperville,60565,Walgreens Store #13456', 'IL,Normal,61761,Kroger Pharmacy 02100347', 'IL,Northbrook,60062,Marianos Pharmacy 53100532', 'IL,Northfield,60093,Marianos Pharmacy 53100524', 'IL,Oak Lawn,60453,Xpress Pharmacy', 'IL,Oak Park,60302,Osco Pharmacy', 'IL,Orland Park,60462,Marianos Pharmacy 53100535', 'IL,Orland Park,60462,Osco Pharmacy', 'IL,Park Ridge,60068,Marianos Pharmacy 53100525', 'IL,Paxton,60957,Hudson Drug Shop', 'IL,Pekin,61554,Kroger Pharmacy 02100923', 'IL,Peoria,61607,Kroger Pharmacy 02100531', 'IL,Plainfield,60544,K  J Global Pharmacy', 'IL,Riverton,62561,Currys Family Pharmacy', 'IL,Rockford,61108,Walgreens Store #07069', 'IL,Rockford,61108,Walgreens Store #12555', 'IL,Roscoe,61073,Walgreens Store #06001', 'IL,Shorewood,60404,Marianos Pharmacy 53100526', 'IL,Springfield,62703,Walgreens Store #01770', 'IL,Springfield,62703,Walgreens Store #03901', 'IL,Vernon Hills,60061,Marianos Pharmacy 53100502', 'IL,Waukegan,60087,Walgreens Store #03749', 'IL,Westmont,60559,Marianos Pharmacy 53100536', 'IL,Westmont,60559,Osco Pharmacy', 'IL,Westville,61883,Cvs Store #06924', 'IL,Wilmette,60091,Cvs Store #10052']
IL    2022-04-30 05-15  -30       ['IL,Barrington,60010,Walgreens Store #11662', 'IL,Bartlett,60103,Walgreens Store #15482', 'IL,Chicago,60614,Walgreens Store #00249', 'IL,Chicago,60618,Walgreens Store #07359', 'IL,Chicago,60647,Walgreens Store #15065', 'IL,Darien,60561,Walgreens Store #06176', 'IL,Des Plaines,60016,Walgreens Store #06866', 'IL,Dixon,61021,Walgreens Store #02591', 'IL,Downers Grove,60516,Walgreens Store #02720', 'IL,Elgin,60120,Walgreens Store #09439', 'IL,Elk Grove Village,60007,Walgreens Store #05735', 'IL,Forsyth,62535,Colees Corner Drug', 'IL,Hanover Park,60133,Walgreens Store #03729', 'IL,Hickory Hills,60457,Walgreens Store #05139', 'IL,Hillside,60162,Cvs Store #02827', 'IL,Lake Zurich,60047,Walgreens Store #04464', 'IL,Lindenhurst,60046,Walgreens Store #06905', 'IL,Normal,61761,Cvs Store #07020', 'IL,Oak Lawn,60453,Walgreens Store #01504', 'IL,Round Lake Beach,60073,Walgreens Store #04940', 'IL,Schiller Park,60176,Walgreens Store #04826', 'IL,Springfield,62702,Cvs Store #06857', 'IL,Springfield,62702,Walgreens Store #02492', 'IL,Sugar Grove,60554,Walgreens Store #09431', 'IL,Teutopolis,62467,Kremer Pharmacy', 'IL,Urbana,61801,Carle Foundation Hospital', 'IL,Western Springs,60558,Walgreens Store #05384', 'IL,Westmont,60559,Walgreens Store #13827', 'IL,Willowbrook,60527,Walgreens Store #06475', 'IL,Winfield,60190,Walgreens Store #06518']
IL    2022-05-01 05-13  +1        ['IL,Schaumburg,60193,Osco Pharmacy']
IL    2022-05-01 05-13  -2        ['IL,Savanna,61074,Hartig Drug 29', 'IL,Stockton,61085,Hartig Drug #11']
IL    2022-05-02 06-02  +1        ['IL,Lake Zurich,60047,Osco Pharmacy']
