State Date       Time   Providers Details
CT    2022-03-19 08-15  +1        ['CT,Waterbury,06708,Waterbury Hospital']
DE    2022-02-10 21-04  +1        ['DE,Seaford,19973,Tidal Health Employee Health']
DE    2022-02-10 21-04  -1        ['DE,Wilmington,19805,V04 460 Wilmington, De']
DE    2022-02-16 18-37  +1        ['DE,Wilmington,19805,V04 460 Wilmington, De']
DE    2022-02-16 18-37  -1        ['DE,Seaford,19973,Tidal Health Employee Health']
DE    2022-02-22 09-09  -1        ['DE,Wilmington,19805,V04 460 Wilmington, De']
DC    2022-01-03 16-32  +1        ['DC,Washington,20060,Howard University Hospital']
DC    2022-01-28 09-28  +1        ['DC,Washington,20032,United Medical Center Hospital Phar']
DC    2022-02-10 21-04  +2        ['DC,Washington,20002,Tx_P0_Hub_All', 'DC,Washington,20002,Tx_P1_Antiviral']
DC    2022-02-10 21-04  -4        ['DC,Washington,20010,Cnmc-Main Hospital Pharmacy', 'DC,Washington,20032,United Medical Center Hospital Phar', 'DC,Washington,20037,Gwu Hospital Pharmacy', 'DC,Washington,20060,Howard University Hospital']
DC    2022-02-16 18-37  +4        ['DC,Washington,20010,Cnmc-Main Hospital Pharmacy', 'DC,Washington,20032,United Medical Center Hospital Phar', 'DC,Washington,20037,George Washington Univ Hosp Phcy', 'DC,Washington,20060,Howard University Hospital']
DC    2022-02-16 18-37  -2        ['DC,Washington,20002,Tx_P0_Hub_All', 'DC,Washington,20002,Tx_P1_Antiviral']
DC    2022-03-16 18-51  -5        ['DC,Washington,20007,Medstar Georgetown Univer Hospital', 'DC,Washington,20010,Cnmc-Main Hospital Pharmacy', 'DC,Washington,20032,United Medical Center Hospital Phar', 'DC,Washington,20037,George Washington Univ Hosp Phcy', 'DC,Washington,20060,Howard University Hospital']
DC    2022-03-18 09-58  +1        ['DC,Washington,20002,Kaiser - Capitol Hill']
DC    2022-03-18 11-17  +1        ['DC,Washington,20037,Medical Faculty Associates']
FL    2022-01-03 16-32  +6        ['FL,Apopka,32703,Adventhealth Apopka', 'FL,Chipley,32428,Northwest Fl Comm Hospital', 'FL,Fort Myers,33912,Gulf Coast Med Cntr Inpatient Pharm', 'FL,Jacksonville,32224,Mayo Clinic', 'FL,Pensacola,32501,Baptist Hospital', 'FL,Tampa,33612,Moffitt Cancer - Magnolia']
FL    2022-01-04 16-56  +1        ['FL,Gainesville,32608,V08 573 Gainesville, Fl']
FL    2022-01-04 16-56  -1        ['FL,Tampa,33612,Moffitt Cancer - Magnolia']
FL    2022-01-07 08-09  +2        ['FL,Miami,33316,Jackson Memorial Hospital', 'FL,West Palm Beach,33410,V08 548 West Palm Beach, Fl']
FL    2022-01-11 08-35  +1        ['FL,Miami,33136,Jackson Memorial Hospital']
FL    2022-01-11 08-35  -1        ['FL,Miami,33316,Jackson Memorial Hospital']
FL    2022-01-12 08-07  +3        ['FL,Lakeland,33805,Lakeland Reg Med Ctr', 'FL,Miami,33136,Umiamihealth - Sylvester Cc Alencar', 'FL,Weston,33331,Ccf Weston Hospital']
FL    2022-01-14 15-37  -1        ['FL,Jacksonville,32224,Mayo Clinic']
FL    2022-01-19 08-05  +1        ['FL,Miami,33155,Nicklaus Childrens Hospital']
FL    2022-01-21 18-08  +8        ['FL,Hollywood,33021,Joe Dimaggio Childrens Hospital', 'FL,Hollywood,33021,Memorial Regional Hospital', 'FL,Jacksonville,32256,Crucial Care', 'FL,Leesburg,34748,Uf Health Leesburg Hospital', 'FL,Miami,33176,Baptist Health Specialty Pharmacy', 'FL,Pembroke Pines,33028,Memorial Hospital West', 'FL,Sarasota,34239,Sarasota Memorial Hospital', 'FL,Tallahassee,32308,Tallahassee Memorial Healthcare']
FL    2022-02-02 09-09  +10       ['FL,Aventura,33180,Fl Ctr Allergy Asthma Care', 'FL,Coral Springs,33065,Broward Health Coral Springs', 'FL,Deerfield Beach,33064,Broward Health North', 'FL,Deerfield Beach,33441,Ij Rizo Elite Healthcare', 'FL,Fort Lauderdale,33308,Broward Health Imperial Point', 'FL,Orlando,32822,Adventhealth East Orlando', 'FL,Stuart,34994,Cleveland Clinic Martin Health', 'FL,Tampa,33624,Deliverxd', 'FL,Vero Beach,32960,Cleveland Clinic Indian River Hosp', 'FL,Wellington,33414,Wellington Regional Medical Center']
FL    2022-02-02 09-09  -4        ['FL,Chipley,32428,Northwest Fl Comm Hospital', 'FL,Fort Myers,33912,Gulf Coast Med Cntr Inpatient Pharm', 'FL,Lakeland,33805,Lakeland Reg Med Ctr', 'FL,Leesburg,34748,Uf Health Leesburg Hospital']
FL    2022-02-04 09-14  -1        ['FL,Deerfield Beach,33441,Ij Rizo Elite Healthcare']
FL    2022-02-07 09-54  +3        ['FL,Hollywood,33021,Memorial Reg Hospital South', 'FL,Hollywood,33024,Seminole Clinic - Hollywood', 'FL,Miami,33194,Miccosukee Tribe Of Indians Of Fl']
FL    2022-02-09 09-41  +1        ['FL,Doral,33172,Boca Raton Regional Hospital']
FL    2022-02-09 09-41  -1        ['FL,Hollywood,33024,Seminole Clinic - Hollywood']
FL    2022-02-10 21-04  +2        ['FL,Hollywood,33024,Seminole Clinic - Hollywood', 'FL,Tallahassee,32399,Your Facility Name']
FL    2022-02-10 21-04  -14       ['FL,Aventura,33180,Fl Ctr Allergy Asthma Care', 'FL,Coral Springs,33065,Broward Health Coral Springs', 'FL,Deerfield Beach,33064,Broward Health North', 'FL,Fort Lauderdale,33308,Broward Health Imperial Point', 'FL,Gainesville,32608,V08 573 Gainesville, Fl', 'FL,Jacksonville,32256,Crucial Care', 'FL,Miami,33136,Jackson Memorial Hospital', 'FL,Miami,33155,Nicklaus Childrens Hospital', 'FL,Miami,33176,Baptist Health Specialty Pharmacy', 'FL,Pensacola,32501,Baptist Hospital', 'FL,Stuart,34994,Cleveland Clinic Martin Health', 'FL,Tampa,33624,Deliverxd', 'FL,Wellington,33414,Wellington Regional Medical Center', 'FL,West Palm Beach,33410,V08 548 West Palm Beach, Fl']
FL    2022-02-16 08-11  +3        ['FL,Jacksonville,32256,Crucial Care', 'FL,Miami,33136,Jackson Memorial Hospital', 'FL,Wellington,33414,Wellington Regional Medical Center']
FL    2022-02-16 08-23  +3        ['FL,Fort Myers,33912,Gulf Coast Med Cntr Inpatient Pharm', 'FL,Miami,33176,Baptist Hospital Of Miami', 'FL,Orange City,32763,Advent Health Fish Memorial']
FL    2022-02-16 18-37  +14       ['FL,Aventura,33180,Fl Ctr Allergy Asthma Care', 'FL,Coral Springs,33065,Broward Health Coral Springs', 'FL,Deerfield Beach,33064,Broward Health North', 'FL,Fort Lauderdale,33308,Broward Health Imperial Point', 'FL,Gainesville,32608,V08 573 Gainesville, Fl', 'FL,Miami,33155,Nicklaus Childrens Hospital', 'FL,Miami,33176,Baptist Health Specialty Pharmacy', 'FL,New Port Richey,34652,Richey Medical Pharmacy', 'FL,North Port,34287,North Port Pharmacy', 'FL,Orlando,32827,V08 675 Orlando, Fl', 'FL,Pensacola,32501,Baptist Hospital', 'FL,Stuart,34994,Cleveland Clinic Martin Health', 'FL,Tampa,33624,Deliverxd', 'FL,West Palm Beach,33410,V08 548 West Palm Beach, Fl']
FL    2022-02-16 18-37  -6        ['FL,Hollywood,33021,Joe Dimaggio Childrens Hospital', 'FL,Hollywood,33021,Memorial Reg Hospital South', 'FL,Hollywood,33021,Memorial Regional Hospital', 'FL,Miami,33176,Baptist Hospital Of Miami', 'FL,Orange City,32763,Advent Health Fish Memorial', 'FL,Tallahassee,32399,Your Facility Name']
FL    2022-02-18 15-54  +4        ['FL,Hollywood,33021,Joe Dimaggio Childrens Hospital', 'FL,Hollywood,33021,Memorial Reg Hospital South', 'FL,Hollywood,33021,Memorial Regional Hospital', 'FL,Westchase,33626,Prosper Infusion Inc']
FL    2022-02-18 16-04  +10       ['FL,Chipley,32428,Northwest Fl Comm Hospital', 'FL,Deerfield Beach,33441,Ij Rizo Elite Healthcare', 'FL,Fort Lauderdale,33316,Broward Health Medical Center', 'FL,Jacksonville,32207,Baptist Medical Center', 'FL,Lakeland,33805,Lakeland Reg Med Ctr', 'FL,Leesburg,34748,Uf Health Leesburg Hospital', 'FL,Miami Beach,33140,Mount Sinai Comprehensive Canc', 'FL,Miami Beach,33140,Mount Sinai Med Ctr Main Campus', 'FL,Saint Cloud,34769,Prescriptions Unlimited', 'FL,Stuart,34994,Comprehensive Family Health']
FL    2022-02-22 09-09  -10       ['FL,Chipley,32428,Northwest Fl Comm Hospital', 'FL,Deerfield Beach,33441,Ij Rizo Elite Healthcare', 'FL,Fort Lauderdale,33316,Broward Health Medical Center', 'FL,Gainesville,32608,V08 573 Gainesville, Fl', 'FL,Jacksonville,32207,Baptist Medical Center', 'FL,Lakeland,33805,Lakeland Reg Med Ctr', 'FL,Leesburg,34748,Uf Health Leesburg Hospital', 'FL,Orlando,32827,V08 675 Orlando, Fl', 'FL,Stuart,34994,Comprehensive Family Health', 'FL,West Palm Beach,33410,V08 548 West Palm Beach, Fl']
FL    2022-02-24 09-51  +2        ['FL,Jacksonville,32207,Baptist Medical Center', 'FL,X,32822,Adventhealth East Orlando']
FL    2022-02-24 09-51  -1        ['FL,Orlando,32822,Adventhealth East Orlando']
FL    2022-03-03 09-56  +5        ['FL,Boca Raton,33433,Miller Bioconnect', 'FL,Daytona Beach,32117,Advent Health- Daytona Beach', 'FL,Fort Lauderdale,33304,Consult Rx Pharmacy', 'FL,Hialeah,33012,Larkin Comm Hosp-Palm Springs Camp', 'FL,Orange City,32763,Advent Health Fish Memorial']
FL    2022-03-03 10-04  +2        ['FL,Dunedin,34698,Ama Medical Group', 'FL,Sebring,33872,Adventhealth-Sebring']
FL    2022-03-08 14-40  +15       ['FL,Boca Raton,33486,Lynn Cancer Institute', 'FL,Brooksville,34613,Pine Brook Pharmacy -11373', 'FL,Daytona Beach,32117,Adventhealth Daytona Beach', 'FL,Englewood,34224,Diksha Inc', 'FL,Fort Pierce,34950,Whole Family Health Ctr -Ft. Pierce', 'FL,Hollywood,33026,Icare Mobile Medicine', 'FL,Jacksonville,32207,Baptist Medical Center Jacksonville', 'FL,Miami Beach,33140,Mt. Sinai Med Center Main Campus', 'FL,Ocala,34471,Ocala Regional Medical Center', 'FL,Orange City,32763,Adventhealth Fish Memorial', 'FL,Orlando,32822,Adventhealth East Orlando', 'FL,Pensacola,32501,Baptist Hospital-Pensacola', 'FL,Sebring,33872,Adventhealth Sebring', 'FL,Tampa,33624,Deliverxd Pharmacy', 'FL,Vero Beach,32960,Whole Family Health Ctr-Vero Beach']
FL    2022-03-08 14-40  -10       ['FL,Daytona Beach,32117,Advent Health- Daytona Beach', 'FL,Hollywood,33026,Icare Mobile Medicine Cooper City', 'FL,Jacksonville,32207,Baptist Medical Center', 'FL,Miami Beach,33140,Mount Sinai Med Ctr Main Campus', 'FL,Ocala,34471,Ocala Health Systems', 'FL,Orange City,32763,Advent Health Fish Memorial', 'FL,Pensacola,32501,Baptist Hospital', 'FL,Sebring,33872,Adventhealth-Sebring', 'FL,Tampa,33624,Deliverxd', 'FL,X,32822,Adventhealth East Orlando']
FL    2022-03-16 18-51  +9        ['FL,Brooksville,34613,Pine Brook Pharmacy -14111', 'FL,Coral Springs,33071,Iv Infusion Treatment Center', 'FL,Dania Beach,33004,Emerald Multispecialty', 'FL,Deland,32720,Ne Florida Health Services', 'FL,Fort Myers,33901,Lee Pharmacy Lmh', 'FL,Key Biscayne,33149,Ethos Wellness Pharmacy', 'FL,Miami,33176,Baptist Hospital Of Miami', 'FL,Tallahassee,32308,Tlh Allergy, Asthma And Immunology', 'FL,Tampa,33617,Infectious Disease Assoc Tampa Bay']
FL    2022-03-16 18-51  -27       ['FL,Apopka,32703,Adventhealth Apopka', 'FL,Aventura,33180,Fl Ctr Allergy Asthma Care', 'FL,Boca Raton,33433,Miller Bioconnect', 'FL,Brooksville,34613,Pine Brook Pharmacy -11373', 'FL,Coral Springs,33065,Broward Health Coral Springs', 'FL,Daytona Beach,32117,Adventhealth Daytona Beach', 'FL,Deerfield Beach,33064,Broward Health North', 'FL,Doral,33172,Boca Raton Regional Hospital', 'FL,Dunedin,34698,Ama Medical Group', 'FL,Englewood,34224,Diksha Inc', 'FL,Fort Lauderdale,33308,Broward Health Imperial Point', 'FL,Fort Myers,33912,Gulf Coast Med Cntr Inpatient Pharm', 'FL,Fort Pierce,34950,Whole Family Health Ctr -Ft. Pierce', 'FL,Hollywood,33021,Joe Dimaggio Childrens Hospital', 'FL,Hollywood,33021,Memorial Reg Hospital South', 'FL,Hollywood,33021,Memorial Regional Hospital', 'FL,Jacksonville,32207,Baptist Medical Center Jacksonville', 'FL,Miami,33176,Baptist Health Specialty Pharmacy', 'FL,Miami,33194,Miccosukee Tribe Of Indians Of Fl', 'FL,New Port Richey,34652,Richey Medical Pharmacy', 'FL,North Port,34287,North Port Pharmacy', 'FL,Ocala,34471,Ocala Regional Medical Center', 'FL,Orlando,32822,Adventhealth East Orlando', 'FL,Pembroke Pines,33028,Memorial Hospital West', 'FL,Tampa,33624,Deliverxd Pharmacy', 'FL,Vero Beach,32960,Whole Family Health Ctr-Vero Beach', 'FL,Weston,33331,Ccf Weston Hospital']
FL    2022-03-18 09-58  +7        ['FL,Apopka,32703,Adventhealth Apopka', 'FL,Hollywood,33021,Joe Dimaggio Childrens Hospital', 'FL,Hollywood,33021,Memorial Regional Hospital', 'FL,Miami,,Nicklaus Childrens Hospital', 'FL,Miami,33134,Banyan Community Health Center', 'FL,New Port Richey,34653,Newgen Clinical Care Pharmacy Llc', 'FL,Pembroke Pines,33028,Memorial Hospital West']
FL    2022-03-18 09-58  -5        ['FL,Miami Beach,33140,Mount Sinai Comprehensive Canc', 'FL,Miami Beach,33140,Mt. Sinai Med Center Main Campus', 'FL,Miami,33155,Nicklaus Childrens Hospital', 'FL,Sebring,33872,Adventhealth Sebring', 'FL,Tallahassee,32308,Tlh Allergy, Asthma And Immunology']
FL    2022-03-18 11-17  +11       ['FL,Apoka,32703,Cdr- Clarcona Site', 'FL,Bonita Springs,34135,Old Bonita Spring Library', 'FL,Coral Springs,33076,Ultimate Preventive Care Group Inc', 'FL,Fleming Island,32003,Fleming Island Cancer Center', 'FL,Holly Hill,32117,Holly Hill Pharmacy', 'FL,Hollywood,33021,Memorial Reg Hospital South', 'FL,Miami,33155,Nicklaus Childrens Hospital', 'FL,Miami,33186,Cdr Health Wh1', 'FL,Orlando,32819,Cdr Health Wh2', 'FL,West Palm Beach,33409,Cdr Health; West Gate Park And Recr', 'FL,Weston,33331,Ccf Weston Hospital']
FL    2022-03-18 11-17  -8        ['FL,Coral Springs,33071,Iv Infusion Treatment Center', 'FL,Deland,32720,Ne Florida Health Services', 'FL,Fort Lauderdale,33304,Consult Rx Pharmacy', 'FL,Hollywood,33021,Memorial Regional Hospital', 'FL,Jacksonville,32256,Crucial Care', 'FL,Miami,,Nicklaus Childrens Hospital', 'FL,Saint Cloud,34769,Prescriptions Unlimited', 'FL,Stuart,34994,Cleveland Clinic Martin Health']
FL    2022-03-19 08-15  +3        ['FL,Saint Petersburg,33701,John Hopkins Childrens Hospital', 'FL,Tallahassee,32308,Cdr Health Tallahassee Clinic', 'FL,West Palm Beach,33401,Flagler Cancer Center']
GA    2022-01-04 16-56  +1        ['GA,Rome,30165,Harbin Clinic Llc']
GA    2022-01-11 08-35  +1        ['GA,Sylvester,31791,Phoebe Worth Medical Center']
GA    2022-01-12 08-07  +1        ['GA,Thomasville,31792,John D Archbold Memorial Hospital']
GA    2022-01-13 10-07  +1        ['GA,Macon,31201,Atrium Navicent The Medical Center']
GA    2022-01-14 15-37  +1        ['GA,Smyrna,30080,Rheumatology Associates @ Vhp']
GA    2022-02-02 09-09  +1        ['GA,Thomaston,30286,Upson Regional Medical Center']
GA    2022-02-04 09-14  +1        ['GA,Dalton,30720,Hamilton Medical Center']
GA    2022-02-10 21-04  +3        ['GA,Austell,30106,Wellstar Cobb Hospital', 'GA,Lagrange,30240,West Georgia Medical Center', 'GA,Roswell,30076,Wellstar North Fulton Hospital']
GA    2022-02-10 21-04  -18       ['GA,Albany,31701,Phoebe Putney Memorial Hospital', 'GA,Americus,31719,Phoebe Sumter Medical Center', 'GA,Atlanta,30308,Emory University Hospital Midtown', 'GA,Atlanta,30308,Piedmont Hospital', 'GA,Atlanta,30309,Shepherd Center', 'GA,Atlanta,30322,Emory University Hospital', 'GA,Atlanta,30342,Northside Hospital Atlanta', 'GA,Brunswick,31520,Sghs, Brunswick', 'GA,Dalton,30720,Hamilton Medical Center', 'GA,Macon,31201,Atrium Navicent The Medical Center', 'GA,Macon,31210,Atrium Navicent Rehabilitation', 'GA,Newnan,30265,Cancer Treament Centers Of America', 'GA,Rome,30165,Harbin Clinic Llc', 'GA,Rome,30165,Harbin Clinic Medical Oncology', 'GA,Sylvester,31791,Phoebe Worth Medical Center', 'GA,Thomaston,30286,Upson Regional Medical Center', 'GA,Thomasville,31792,John D Archbold Memorial Hospital', 'GA,Tifton,31794,Tift Regional Medical Center']
GA    2022-02-16 08-23  +1        ['GA,Atlanta,30329,Amber Specialty Pharmacy Atlanta']
GA    2022-02-16 08-23  -1        ['GA,Atlanta,30329,Amber Specialty']
GA    2022-02-16 18-37  +18       ['GA,Albany,31701,Phoebe Putney Memorial Hospital', 'GA,Americus,31719,Phoebe Sumter Medical Center', 'GA,Atlanta,30308,Emory University Hospital Midtown', 'GA,Atlanta,30308,Piedmont Hospital', 'GA,Atlanta,30309,Shepherd Center', 'GA,Atlanta,30322,Emory University Hospital', 'GA,Atlanta,30342,Northside Hospital Atlanta', 'GA,Brunswick,31520,Sghs, Brunswick', 'GA,Dalton,30720,Hamilton Medical Center', 'GA,Macon,31201,Atrium Navicent The Medical Center', 'GA,Macon,31210,Atrium Navicent Rehabilitation', 'GA,Newnan,30265,Cancer Treament Centers Of America', 'GA,Rome,30165,Harbin Clinic Llc', 'GA,Rome,30165,Harbin Clinic Medical Oncology', 'GA,Sylvester,31791,Phoebe Worth Medical Center', 'GA,Thomaston,30286,Upson Regional Medical Center', 'GA,Thomasville,31792,John D Archbold Memorial Hospital', 'GA,Tifton,31794,Tift Regional Medical Center']
GA    2022-02-16 18-37  -3        ['GA,Austell,30106,Wellstar Cobb Hospital', 'GA,Lagrange,30240,West Georgia Medical Center', 'GA,Roswell,30076,Wellstar North Fulton Hospital']
GA    2022-02-18 16-04  +1        ['GA,Valdosta,31602,South Georgia Medical Center']
GA    2022-02-22 09-09  +1        ['GA,Savannah,31404,Coastal Rheumatology Associates']
GA    2022-02-22 09-09  -1        ['GA,Valdosta,31602,South Georgia Medical Center']
GA    2022-03-16 18-51  +2        ['GA,Marietta,30060,Cobb Infusion Pharmacy At Tower Rd', 'GA,Roswell,30076,Wellstar North Fulton Hospital']
GA    2022-03-16 18-51  -20       ['GA,Albany,31701,Phoebe Putney Memorial Hospital', 'GA,Americus,31719,Phoebe Sumter Medical Center', 'GA,Atlanta,30303,Grady Health Services', 'GA,Atlanta,30308,Emory University Hospital Midtown', 'GA,Atlanta,30308,Piedmont Hospital', 'GA,Atlanta,30309,Shepherd Center', 'GA,Atlanta,30322,Emory University Hospital', 'GA,Atlanta,30342,Northside Hospital Atlanta', 'GA,Brunswick,31520,Sghs, Brunswick', 'GA,Dalton,30720,Hamilton Medical Center', 'GA,Macon,31201,Atrium Navicent The Medical Center', 'GA,Macon,31210,Atrium Navicent Rehabilitation', 'GA,Newnan,30265,Cancer Treament Centers Of America', 'GA,Rome,30165,Harbin Clinic Llc', 'GA,Rome,30165,Harbin Clinic Medical Oncology', 'GA,Savannah,31405,Candler Hospital', 'GA,Sylvester,31791,Phoebe Worth Medical Center', 'GA,Thomaston,30286,Upson Regional Medical Center', 'GA,Thomasville,31792,John D Archbold Memorial Hospital', 'GA,Tifton,31794,Tift Regional Medical Center']
GA    2022-03-18 11-17  -2        ['GA,Lithia Springs,30122,Wellstar Health System, Inc', 'GA,Roswell,30076,Wellstar North Fulton Hospital']
GA    2022-03-19 11-58  -1        ['GA,Marietta,30060,Cobb Infusion Pharmacy At Tower Rd']
GU    2022-02-10 21-04  -1        ['GU,Tamuning,96913,Guam Memorial Hospital Authority']
GU    2022-03-16 18-51  -1        ['GU,Tamuning,96913,Guam Memorial Hospital Authority']
HI    2022-01-03 16-32  +3        ['HI,Ewa Beach,96706,Queens Medical Center W Oahu Covid', 'HI,Hilo,96720,Hilo Medical Center', 'HI,Kamuela,96743,Queens North Hawaii Covid']
HI    2022-01-10 10-10  -2        ['HI,Ewa Beach,96706,Queens Medical Center W Oahu Covid', 'HI,Kamuela,96743,Queens North Hawaii Covid']
HI    2022-01-11 08-35  +2        ['HI,Ewa Beach,96706,Queens Medical Center W Oahu Covid', 'HI,Kamuela,96743,Queens North Hawaii Covid']
HI    2022-01-12 08-07  +1        ['HI,Kailua-Kona,96740,West Hawaii Community Health Center']
HI    2022-01-13 10-07  +1        ['HI,Hana,96713,Hana Community Health Center']
HI    2022-01-14 15-37  +6        ['HI,Ewa Beach,96706,Queens Medical Center - West Oahu', 'HI,Honolulu,96813,Queens Medical Center - Punchbowl', 'HI,Honolulu,96813,Straub Medical Center', 'HI,Kealakekua,96750,Kona Community Hospital Covid', 'HI,Lihue,96766,Wilcox Memorial Hospital', 'HI,Wailuku,96793,Maui Memorial Medical Center']
HI    2022-01-14 15-37  -5        ['HI,Ewa Beach,96706,Queens Medical Center W Oahu Covid', 'HI,Honolulu,96813,Queens Medical Center Covid', 'HI,Honolulu,96813,Straub Medical Center Covid', 'HI,Lihue,96766,Wilcox Memorial Hospital Covid', 'HI,Wailuku,96793,Maui Health Covid']
HI    2022-01-21 18-08  +2        ['HI,Honolulu,96819,Pharmacare Ltc', 'HI,Kealakekua,96750,Kona Community Hospital']
HI    2022-01-21 18-08  -1        ['HI,Kealakekua,96750,Kona Community Hospital Covid']
HI    2022-02-01 09-23  +1        ['HI,Honolulu,96819,V21 459 Honolulu, Hi']
HI    2022-02-02 09-09  -1        ['HI,Ewa Beach,96706,Queens Medical Center - West Oahu']
HI    2022-02-04 09-14  +1        ['HI,Kahuku,96731,Koolauloa Health Center']
HI    2022-02-10 21-04  +2        ['HI,Aiea,96701,Pali Momi Medical Center', 'HI,Honolulu,96826,Kapiolani Medical Center']
HI    2022-02-10 21-04  -2        ['HI,Honolulu,96819,V21 459 Honolulu, Hi', 'HI,Kahuku,96731,Koolauloa Health Center']
HI    2022-02-16 08-11  +1        ['HI,Wailuku,96793,Kaiser Maui Lani']
HI    2022-02-16 18-37  +2        ['HI,Honolulu,96819,V21 459 Honolulu, Hi', 'HI,Kahuku,96731,Koolauloa Health Center']
HI    2022-02-16 18-37  -3        ['HI,Aiea,96701,Pali Momi Medical Center', 'HI,Honolulu,96826,Kapiolani Medical Center', 'HI,Wailuku,96793,Kaiser Maui Lani']
HI    2022-02-18 16-04  +1        ['HI,Ewa Beach,96706,Queens Medical Center - West Oahu']
HI    2022-02-22 09-09  -2        ['HI,Ewa Beach,96706,Queens Medical Center - West Oahu', 'HI,Honolulu,96819,V21 459 Honolulu, Hi']
HI    2022-03-03 09-56  +1        ['HI,Ewa Beach,96706,Queens Medical Center - West Oahu']
HI    2022-03-08 14-40  +1        ['HI,Honolulu,96826,Kapiolani Medical Center']
HI    2022-03-16 18-51  +3        ['HI,Aiea,96701,Pali Momi Medical Center', 'HI,Honolulu,96819,Pharmacare Iv Infusion', 'HI,Wailuku,96793,Kaiser Maui Lani']
HI    2022-03-16 18-51  -4        ['HI,Ewa Beach,96706,Queens Medical Center - West Oahu', 'HI,Honolulu,96813,Queens Medical Center - Punchbowl', 'HI,Kahuku,96731,Koolauloa Health Center', 'HI,Kamuela,96743,Queens North Hawaii Covid']
HI    2022-03-18 09-58  +1        ['HI,Kahuku,96731,Koolauloa Health Center']
HI    2022-03-18 09-58  -1        ['HI,Kailua,96734,Adventist Health Castle']
HI    2022-03-18 11-17  +1        ['HI,Kailua,96734,Adventist Health Castle']
HI    2022-03-20 06-05  -1        ['HI,Honolulu,96819,Pharmacare Ltc']
ID    2022-01-04 16-56  +1        ['ID,Boise,83702,V20 531 Boise, Id']
ID    2022-01-12 08-07  +1        ['ID,Coeur D Alene,83814,Kootenai Cancer Svcs Pharmacy Cda']
ID    2022-01-19 08-05  +1        ['ID,Lewiston,83501,St. Joseph Regional Cancer Center']
ID    2022-02-10 21-04  +1        ['ID,Nampa,83687,Saint Alphonsus Med Cntr Nampa']
ID    2022-02-10 21-04  -1        ['ID,Boise,83702,V20 531 Boise, Id']
ID    2022-02-16 18-37  +4        ['ID,Boise,83702,V20 531 Boise, Id', 'ID,Boise,83709,Id Arthritis And Osteoporosis Ctr', 'ID,Caldwell,83605,Id Arthritis And Osteoporosis Ctr', 'ID,Meridian,83642,Id Arthritis And Osteoporosis Cnt']
ID    2022-02-16 18-37  -1        ['ID,Nampa,83687,Saint Alphonsus Med Cntr Nampa']
ID    2022-02-18 16-04  +2        ['ID,Driggs,83422,Teton Valley Hlth Care Inc', 'ID,Rexburg,83440,Madison Memorial Hospital']
ID    2022-02-22 09-09  +3        ['ID,Arco,83213,Lost River Hospital', 'ID,Preston,83263,Franklin County Medical Center', 'ID,Salmon,83467,Steele Memorial Medical Center']
ID    2022-02-22 09-09  -1        ['ID,Boise,83702,V20 531 Boise, Id']
ID    2022-03-03 09-56  +1        ['ID,Blackfoot,83221,Bingham Memorial Hospital']
ID    2022-03-16 18-51  +1        ['ID,Nampa,83687,Saint Alphonsus Med Cntr Nampa']
ID    2022-03-16 18-51  -4        ['ID,Arco,83213,Lost River Hospital', 'ID,Boise,83706,Saint Alphonsus Reg Med Center', 'ID,Idaho Falls,83404,Mountain View Hospital', 'ID,Salmon,83467,Steele Memorial Medical Center']
ID    2022-03-18 11-17  +1        ['ID,Idaho Falls,83404,Mountain View Hospital']
ID    2022-03-18 11-17  -1        ['ID,Boise,83709,Id Arthritis And Osteoporosis Ctr']
ID    2022-03-19 08-15  +1        ['ID,Boise,83709,Id Arthritis And Osteoporosis Ctr']
ID    2022-03-19 11-58  -2        ['ID,Caldwell,83605,Id Arthritis And Osteoporosis Ctr', 'ID,Pocatello,83201,Portneuf Medical Center']
IL    2022-01-04 16-56  +1        ['IL,Marion,62959,V15 657A5 Marion, Il']
IL    2022-01-05 18-07  +4        ['IL,Chicago,60612,Rush University Medical Center', 'IL,Chicago,60625,Swedish Covenant Hospital', 'IL,Chicago,60631,Amita Health Resurrection Medical C', 'IL,Chicago,60657,Amita St. Joseph Hospital']
IL    2022-01-07 08-09  +8        ['IL,Chicago,60611,Northwestern Memorial Hospital', 'IL,Chicago,60623,Saint Anthony Hospital', 'IL,Chicago,60637,University Of Chicago Hospital', 'IL,Chicago,60657,Advocate Illinois Masonic Med Ctr', 'IL,Highland Park,60035,Northshore Highland Park Hospital', 'IL,Maywood,60153,Loyola University Medical Center', 'IL,Peoria,61615,Osf Healthcare', 'IL,Rockford,61103,Javonbea Hospital - Rockton']
IL    2022-01-11 08-35  +2        ['IL,Murphysboro,62966,Sih - Mem Hosp Of Carbondale', 'IL,Urbana,61801,Carle Foundation Hospital']
IL    2022-01-13 10-07  +2        ['IL,Alton,62002,Alton Memorial Hospital', 'IL,Danville,61832,V12 550 Danville, Il']
IL    2022-01-19 08-05  +1        ['IL,Belleville,62226,Protestant Memorial Medical Center']
