2022-03-08T14-40-56,11714,My CHS Rx Pharmacy Inc.,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,100,,
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,373,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/22/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #00555,NLP,NLP,NLP,65,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11714,CVS Store #06275,NLP,NLP,NLP,89,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #00555,NLP,NLP,NLP,57,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11714,CVS Store #06275,NLP,NLP,NLP,86,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,My CHS Rx Pharmacy Inc.,NLP,NLP,NLP,371,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,Rite Aid 10630,NLP,NLP,NLP,7,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #06275,NLP,NLP,NLP,82,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11714,CVS Store #00555,NLP,NLP,NLP,56,05/24/2022 12:00:00 AM
