2022-03-08T14-40-56,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-05-15T05-54-13,11235,Rite Aid 04876,NLP,NLP,NLP,10,05/15/2022 12:00:00 AM
2022-05-15T05-54-13,11235,Walgreens Store #14285,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11235,Walgreens Store #10326,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,96,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/15/2022 12:00:00 AM
2022-05-15T05-54-13,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-15T05-54-13,11235,BOARDWALK RX CORP,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11235,Rite Aid 10586,NLP,NLP,NLP,18,05/15/2022 12:00:00 AM
2022-05-16T05-54-24,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-16T05-54-24,11235,Rite Aid 04876,NLP,NLP,NLP,9,05/15/2022 12:00:00 AM
2022-05-16T05-54-24,11235,CVS Store #02700,NLP,NLP,NLP,79,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11235,Walgreens Store #14285,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,96,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11235,Walgreens Store #10326,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11235,BOARDWALK RX CORP,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/15/2022 12:00:00 AM
2022-05-16T05-54-24,11235,Rite Aid 10586,NLP,NLP,NLP,17,05/15/2022 12:00:00 AM
2022-05-17T05-27-38,11235,CVS Store #02700,NLP,NLP,NLP,79,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,11235,Rite Aid 04876,NLP,NLP,NLP,9,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,96,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11235,Walgreens Store #10326,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11235,Walgreens Store #14285,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11235,Rite Aid 10586,NLP,NLP,NLP,17,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11235,BOARDWALK RX CORP,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,11235,Rite Aid 04876,NLP,NLP,NLP,8,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11235,CVS Store #02700,NLP,NLP,NLP,133,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,95,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11235,WALGREENS STORE #14285,NLP,NLP,NLP,20,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11235,WALGREENS STORE #10326,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,11235,BOARDWALK RX CORP,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,11235,Rite Aid 10586,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,11235,CVS Store #02700,NLP,NLP,NLP,128,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11235,Rite Aid 04876,NLP,NLP,NLP,7,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11235,WALGREENS STORE #14285,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11235,WALGREENS STORE #10326,NLP,NLP,NLP,16,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,94,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11235,Rite Aid 10586,NLP,NLP,NLP,17,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11235,BOARDWALK RX CORP,NLP,NLP,NLP,36,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11235,CVS Store #02700,NLP,NLP,NLP,128,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11235,Rite Aid 04876,NLP,NLP,NLP,7,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11235,WALGREENS STORE #14285,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11235,WALGREENS STORE #10326,NLP,NLP,NLP,16,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,94,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-20T05-59-40,11235,Stop and Shop Store # 505,NLP,NLP,NLP,19,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11235,Rite Aid 10586,NLP,NLP,NLP,17,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11235,BOARDWALK RX CORP,NLP,NLP,NLP,36,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,11235,CVS Store #02700,NLP,NLP,NLP,116,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11235,Rite Aid 04876,NLP,NLP,NLP,5,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,94,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11235,WALGREENS STORE #10326,NLP,NLP,NLP,16,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,11235,Stop and Shop Store # 505,NLP,NLP,NLP,17,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11235,WALGREENS STORE #14285,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,11235,Rite Aid 10586,NLP,NLP,NLP,13,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11235,BOARDWALK RX CORP,NLP,NLP,NLP,34,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,11235,CVS Store #02700,NLP,NLP,NLP,116,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,11235,WALGREENS STORE #10326,NLP,NLP,NLP,16,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,11235,Rite Aid 04876,NLP,NLP,NLP,3,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,NLP,NLP,NLP,94,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,11235,Stop and Shop Store # 505,NLP,NLP,NLP,17,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,11235,BOARDWALK RX CORP,NLP,NLP,NLP,33,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,11235,CARE FAST PHARMACY INC,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,11235,Rite Aid 10586,NLP,NLP,NLP,13,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,11235,WALGREENS STORE #14285,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
