2022-02-09T09-41-46,01772,PROCARE LTC OF MA,02/03/2022 12:00:00 AM,,20,,
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #11387,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,WALGREENS STORE #10318,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,01772,PROCARE LTC OF MA,NLP,NLP,NLP,129,05/23/2022 12:00:00 AM
