State Date       Time   Providers Details
CT    2022-03-16 18-51  +2        ['CT,Hartford,06105,St Francis Hospital/Main Hosp', 'CT,New Haven,06511,Ynhh/Main Hospital']
CT    2022-03-16 18-51  -1        ['CT,Hartford,06106,Ct Childrens Med Cntr Main Hosp']
CT    2022-03-18 09-58  +2        ['CT,Middletown,,Middlesex Hospital', 'CT,Putnam,,Day Kimball Hospital']
CT    2022-03-18 09-58  -2        ['CT,Middletown,06457,Middlesex Hospital', 'CT,Putnam,06260,Day Kimball Hospital']
CT    2022-03-18 11-17  +2        ['CT,Middletown,06457,Middlesex Hospital', 'CT,Putnam,06260,Day Kimball Hospital']
CT    2022-03-18 11-17  -2        ['CT,Middletown,,Middlesex Hospital', 'CT,Putnam,,Day Kimball Hospital']
DE    2022-03-08 14-40  +1        ['DE,Lewes,19958,Aspira Health']
DE    2022-03-16 18-51  -4        ['DE,Dover,19901,Bayhealth Med Center Kent Campus', 'DE,Lewes,19958,Beebe Medical Center', 'DE,Seaford,19973,Tidal Health Employee Health', 'DE,Wilmington,19805,Trinity Health Employee Health']
DC    2022-02-22 09-09  -3        ['DC,Washington,20007,Medstar Georgetown Univer Hospital', 'DC,Washington,20010,Medstar Washington Hospital Center', 'DC,Washington,20060,Howard University Hospital']
DC    2022-03-16 18-51  +1        ['DC,Washington,20016,Sibley Memorial Hospital']
DC    2022-03-16 18-51  -3        ['DC,Washington,20007,Medstar Georgetown Univer Hospital', 'DC,Washington,20032,United Medical Center Hospital Phar', 'DC,Washington,20060,Howard University Hospital']
FL    2022-02-22 09-09  -68       ['FL,Boca Raton,33486,Boca Raton Regional Hospital', 'FL,Bonifay,32425,Doctors Memorial Hosp', 'FL,Boynton Beach,33435,Bethesda Hospital East', 'FL,Boynton Beach,33472,Bethesda Hospital W', 'FL,Brooksville,34613,Pine Brook Pharmacy', 'FL,Coral Gables,33146,Doctors Hospital', 'FL,Coral Springs,33065,Broward Health Coral Springs', 'FL,Crestview,32539,North Okaloosa Medical Center', 'FL,Deerfield Beach,33064,Broward Health North Phcy', 'FL,Doral,33178,Baptist Health Hospital At Doral', 'FL,Englewood,34223,Englewood Community Hospital', 'FL,Eustis,32726,Mount Dora Pharmacy', 'FL,Fort Lauderdale,33316,Broward Health Medical Center', 'FL,Fort Myers,33901,Lee Pharmacy Lmh', 'FL,Fort Myers,33908,Healthpark Medical Center', 'FL,Fort Myers,33912,Gulf Coast Med Cntr Inpatient Pharm', 'FL,Fort Pierce,34982,Midway Specialty Care - Ft Pierce', 'FL,Fort Walton Beach,32547,Emerald Coast Infec. Diseases Med', 'FL,Gainesville,32605,N Fl Reg Med Ctr', 'FL,Gainesville,32610,Uf Health Pharmacy Gnv', 'FL,Gulf Breeze,32561,Gulfbreeze Hospital', 'FL,Holly Hill,32117,Holly Hill Pharmacy', 'FL,Homestead,33033,Homestead Hosp Inc Dietary Gpo', 'FL,Jacksonville,32207,Baptist Medical Center', 'FL,Jay,32565,Jay Hospital', 'FL,Jupiter,33469,Arroyo Health Labs Center Llc', 'FL,Lake Wales,33898,Morning Star Health Solutions Inc', 'FL,Lakeland,33805,Lakeland Reg Med Ctr', 'FL,Leesburg,34748,Leesburg Reg Med Ctr Inc', 'FL,Marathon,33050,Fishermen’S Community Hospital', 'FL,Marianna,32446,Jackson Hospital', 'FL,Melbourne,32940,Premier Urgent Care Of Brevard, Llc', 'FL,Miami,33125,Ch Medical Group, Corp', 'FL,Miami,33134,Cots Medical Group, Corp', 'FL,Miami,33143,South Miami Hospital', 'FL,Miami,33157,Jackson South Community Hosp', 'FL,Miami,33174,Jyj Aprn Services, Corp', 'FL,Miami,33176,Baptist Hospital Of Miami', 'FL,Miami,33183,Es Rehab Professional Center, Inc', 'FL,Miami,33184,Doctors Medical Group, Inc', 'FL,Miami,33185,Kendall South Medical Center', 'FL,Miami,33196,West Kendall Baptist Hospital', 'FL,Nokomis,34275,Sarasota Memorial Hospital Venice', 'FL,Ocala,34471,Ocala Health Systems', 'FL,Orlando,32803,Adventhealth Orlando', 'FL,Orlando,32809,Guardian Pharmacy Of Orlando', 'FL,Orlando,32827,Ucf Lake Nona Medical Center', 'FL,Palatka,32177,Putnam Community Medical Ctr', 'FL,Palm City,34997,Mobile Medical Associates', 'FL,Palm Coast,32164,Adventhealth Palm Coast(Fh-Flagler)', 'FL,Pensacola,32501,Baptist Hospital', 'FL,Pensacola,32514,West Fl Hosp', 'FL,Pompano Beach,33062,Your Health Pharmacy', 'FL,Port St. Joe,32456,Ascension Sacred Heart Gulf', 'FL,Port St. Lucie,34952,Hca Med Ctr Of Pt St Lucie', 'FL,Saint Augustine,32086,Flagler Hospital Inc', 'FL,Sanford,32771,True Health Pharmacy', 'FL,Santa Rosa Beach,32459,Primary Care South', 'FL,Sebring,33872,Adventhealth-Sebring', 'FL,Stuart,34994,Mlibmanmdpa', 'FL,Tampa,33606,Tampa General Hospital', 'FL,Tampa,33609,Memorial Hospital Of Tampa', 'FL,Tampa,33624,Delivrxd Llc  Deliverxd Pharmacy', 'FL,Tavares,32778,Advent Health Waterman', 'FL,Tavernier,33070,Mariners Hospital', 'FL,The Villages,32159,The Villages Regional Hospital', 'FL,Westchase,33626,Prosper Infusion Inc', 'FL,Windermere,34786,Windermere Medical Center']
FL    2022-03-03 10-04  +5        ['FL,Boca Raton,33431,Sia-Specialty Infusion Llc', 'FL,Miami,33136,Jackson Memorial Hospital', 'FL,Miami,33155,Nicklaus Childrens Hospital', 'FL,St Cloud,34771,Hctb, Inc.', 'FL,West Palm Beach,33407,Triple O Medical']
FL    2022-03-03 10-04  -3        ['FL,Miami,33175,S And L Healthy Corp', 'FL,Miami,33183,Es Rehab Professional Center, Inc', 'FL,Miami,33184,Doctors Medical Group, Inc']
FL    2022-03-08 14-40  +35       ['FL,Boca Raton,33428,Fernando Lopez-Ivern Md, Pa', 'FL,Bonifay,32425,Doctors Memorial Hospital -Bonifay', 'FL,Bonita Springs,34135,Old Bonita Spring Library', 'FL,Boynton Beach,33472,Bethesda Hospital West', 'FL,Chipley,32428,Nw Fl Community Hospital', 'FL,Coral Springs,33071,Iv Infusion Treatment Center', 'FL,Dania Beach,33004,Emerald Multispecialty', 'FL,Deerfield Beach,33064,Broward Health North Pharmacy', 'FL,Englewood,34223,Englewood Community Hospital', 'FL,Englewood,34224,Tringali Park R - Charlotte County', 'FL,Fort Pierce,34982,Midway Specialty Care Center', 'FL,Gainesville,32605,N Fl Regional Medical Center', 'FL,Hollywood,33026,Icare Mobile Medicine', 'FL,Jacksonville,32207,Baptist Medical Center Jacksonville', 'FL,Kissimmee,34741,Physician Surgical Network', 'FL,Lake Wales,33898,Morning Star Health Solutions; Inc', 'FL,Lakeland,33805,Lakeland Regional Medical Center', 'FL,Leesburg,34748,Leesburg Regional Medical Center', 'FL,Miami Beach,33140,Mt. Sinai Med Center Main Campus', 'FL,Miami,33145,Care On Wheels', 'FL,Miami,33157,Jackson South Community Hospital', 'FL,Ocala,34471,Ocala Regional Medical Center', 'FL,Palatka,32177,Putnam Community Medical Center', 'FL,Palm Coast,32164,Adventhhealth Palm Coast Fh-Flagler', 'FL,Pensacola,32501,Baptist Hospital-Pensacola', 'FL,Pensacola,32505,Marie K. Young Community -Escambia', 'FL,Pensacola,32514,West Florida Hospital', 'FL,Saint Augustine,32086,Flagler Hospital Inc.', 'FL,Sebring,33872,Adventhealth Sebring', 'FL,South Miami,33143,Larkin Community Hospital', 'FL,St Petersburg,33716,Sun Pharmacy Largo', 'FL,Tampa,33634,Omnicare Of Tampa', 'FL,Tavares,32778,Adventhealth Waterman', 'FL,The Villages,32163,Barnstorm Theatre - Sumter County', 'FL,West Palm Beach,33409,Cdr Health; West Gate Park And Recr']
FL    2022-03-08 14-40  -19       ['FL,Bonifay,32425,Doctors Memorial Hosp', 'FL,Boynton Beach,33472,Bethesda Hospital W', 'FL,Deerfield Beach,33064,Broward Health North Phcy', 'FL,Fort Pierce,34982,Midway Specialty Care - Ft Pierce', 'FL,Gainesville,32605,N Fl Reg Med Ctr', 'FL,Hollywood,33026,Icare Mobile Medicine Cooper City', 'FL,Jacksonville,32207,Baptist Medical Center', 'FL,Lake Wales,33898,Morning Star Health Solutions Inc', 'FL,Lakeland,33805,Lakeland Reg Med Ctr', 'FL,Leesburg,34748,Leesburg Reg Med Ctr Inc', 'FL,Miami,33157,Jackson South Community Hosp', 'FL,Ocala,34471,Ocala Health Systems', 'FL,Palatka,32177,Putnam Community Medical Ctr', 'FL,Palm Coast,32164,Adventhealth Palm Coast(Fh-Flagler)', 'FL,Pensacola,32501,Baptist Hospital', 'FL,Pensacola,32514,West Fl Hosp', 'FL,Saint Augustine,32086,Flagler Hospital Inc', 'FL,Sebring,33872,Adventhealth-Sebring', 'FL,Tavares,32778,Advent Health Waterman']
FL    2022-03-16 18-51  +6        ['FL,Apoka,32703,Cdr- Clarcona Site', 'FL,Brooksville,34613,Pine Brook Pharmacy -14111', 'FL,Leesburg,34748,Uf Health Leesburg Hospital', 'FL,Marathon,33050,Fishermenâ€™S Community Hospital', 'FL,North Miami Beach,33169,Jackson North Medical Center', 'FL,Tallahassee,32308,Cdr Health Tallahassee Clinic']
FL    2022-03-16 18-51  -58       ['FL,Boca Raton,33428,Fernando Lopez-Ivern Md, Pa', 'FL,Bonifay,32425,Doctors Memorial Hospital -Bonifay', 'FL,Boynton Beach,33435,Bethesda Hospital East', 'FL,Boynton Beach,33472,Bethesda Hospital West', 'FL,Brooksville,34613,Pine Brook Pharmacy', 'FL,Chipley,32428,Nw Fl Community Hospital', 'FL,Coral Gables,33146,Doctors Hospital', 'FL,Coral Springs,33065,Altia Landis', 'FL,Coral Springs,33065,Broward Health Coral Springs', 'FL,Coral Springs,33067,Centers For Health Promotions, Llc', 'FL,Coral Springs,33071,Iv Infusion Treatment Center', 'FL,Crestview,32539,North Okaloosa Medical Center', 'FL,Deerfield Beach,33064,Broward Health North Pharmacy', 'FL,Doral,33178,Baptist Health Hospital At Doral', 'FL,Englewood,34223,Englewood Community Hospital', 'FL,Eustis,32726,Mount Dora Pharmacy', 'FL,Fort Lauderdale,33316,Broward Health Medical Center', 'FL,Fort Myers,33908,Healthpark Medical Center', 'FL,Fort Myers,33912,Gulf Coast Med Cntr Inpatient Pharm', 'FL,Fort Walton Beach,32547,Emerald Coast Infec. Diseases Med', 'FL,Gulf Breeze,32561,Gulfbreeze Hospital', 'FL,Hollywood,33026,Icare Mobile Medicine', 'FL,Homestead,33030,Gutleber Medical Group', 'FL,Homestead,33033,Homestead Hospital', 'FL,Jacksonville,32207,Baptist Medical Center Jacksonville', 'FL,Jacksonville,32214,Nh Jacksonville Fl', 'FL,Jay,32565,Jay Hospital', 'FL,Kissimmee,34741,Physician Surgical Network', 'FL,Lakeland,33805,Lakeland Regional Medical Center', 'FL,Leesburg,34748,Leesburg Regional Medical Center', 'FL,Marathon,33050,Fishermen’S Community Hospital', 'FL,Melbourne,32940,Premier Urgent Care Of Brevard, Llc', 'FL,Miami Beach,33140,Tristar Wellness', 'FL,Miami,33143,South Miami Hospital', 'FL,New Port Richey,34652,Richey Medical Pharmacy', 'FL,Nokomis,34275,Sarasota Memorial Hospital Venice', 'FL,Ocala,34471,Ocala Regional Medical Center', 'FL,Orlando,32803,Adventhealth Orlando', 'FL,Orlando,32809,Guardian Pharmacy Of Orlando', 'FL,Orlando,32827,Ucf Lake Nona Medical Center', 'FL,Palatka,32177,Putnam Community Medical Center', 'FL,Pensacola,32501,Baptist Hospital-Pensacola', 'FL,Pensacola,32514,West Florida Hospital', 'FL,Pompano Beach,33062,Your Health Pharmacy', 'FL,Port Saint Lucie,34986,Ronald Samess Md', 'FL,Port St. Lucie,34952,Hca Med Ctr Of Pt St Lucie', 'FL,Santa Rosa Beach,32459,Primary Care South', 'FL,South Miami,33143,Larkin Community Hospital', 'FL,St Cloud,34771,Hctb, Inc.', 'FL,Stuart,34994,Mlibmanmdpa', 'FL,Sun City Center,33573,Columbia South Bay Hospital', 'FL,Tampa,33609,Memorial Hospital Of Tampa', 'FL,Tampa,33624,Delivrxd Llc  Deliverxd Pharmacy', 'FL,Tampa,33634,Omnicare Of Tampa', 'FL,Tavares,32778,Adventhealth Waterman', 'FL,The Villages,32159,The Villages Regional Hospital', 'FL,West Palm Beach,33407,Triple O Medical', 'FL,Weston,33331,Ccf Weston Hospital']
FL    2022-03-18 09-58  +5        ['FL,Davie,33317,Partner Rx; Llc', 'FL,Miami,,Nicklaus Childrens Hospital', 'FL,Naples,34102,Naples Community Hospital Inc.', 'FL,The Villages,32159,The Villages Regional Hospital', 'FL,West Palm Beach,33407,Triple O Medical']
FL    2022-03-18 09-58  -3        ['FL,Miami Beach,33140,Mt. Sinai Med Center Main Campus', 'FL,Miami,33155,Nicklaus Childrens Hospital', 'FL,Sebring,33872,Adventhealth Sebring']
FL    2022-03-18 11-17  +6        ['FL,Ft. Lauderdale,33309,Polaris Pharmacy Prx1', 'FL,Holly Hill,32117,Holly Hill Pharmacy', 'FL,Miami,33155,Nicklaus Childrens Hospital', 'FL,Miami,33186,Cdr Health Wh1', 'FL,Santa Rosa Beach,32459,Primary Care South', 'FL,Weston,33331,Ccf Weston Hospital']
FL    2022-03-18 11-17  -5        ['FL,Fort Pierce,34982,Midway Specialty Care Center', 'FL,Marianna,32446,Jackson Hospital', 'FL,Miami,,Nicklaus Childrens Hospital', 'FL,Palm City,34997,Mobile Medical Associates', 'FL,Saint Augustine,32086,Flagler Hospital Inc.']
FL    2022-03-18 15-22  +1        ['FL,Marathon,33050,Fishermen’S Community Hospital']
FL    2022-03-18 15-22  -1        ['FL,Marathon,33050,Fishermenâ€™S Community Hospital']
FL    2022-03-19 08-15  +1        ['FL,St Petersburg,33716,Sun Pharmacy']
FL    2022-03-19 08-15  -2        ['FL,Marathon,33050,Fishermen’S Community Hospital', 'FL,St Petersburg,33716,Sun Pharmacy Largo']
FL    2022-03-19 11-58  -1        ['FL,Sanford,32771,True Health Pharmacy']
GA    2022-02-22 09-09  -29       ['GA,Albany,31701,Phoebe North Hospital', 'GA,Albany,31701,Phoebe Putney Memorial Hospital', 'GA,Americus,31719,Phoebe Sumter Medical Center', 'GA,Athens,30606,Stmadmin', 'GA,Atlanta,30342,Northside Hospital Atlanta', 'GA,Augusta,30912,Au Medical Center Inpatient Pharm', 'GA,Blairsville,30512,Union General Hospital Inc', 'GA,Brunswick,31520,Sghs, Brunswick', 'GA,Camilla,31730,Mitchell County Hospital Pharmacy', 'GA,Columbus,31901,Piedmont Columbus Regional Midtown', 'GA,Demorest,30535,Hospital Habersham Medical Center', 'GA,Forsyth,31029,Monroe County Hospital', 'GA,Gainesville,30501,Northeast Georgia Medical Center', "GA,Lavonia,30553,St. Mary'S Sacred Heart", 'GA,Lithia Springs,30122,Wellstar Health System, Inc', 'GA,Macon,31210,Atrium Navicent Rehabilitation', 'GA,Moultrie,31768,Colquitt Regional Medical Center', 'GA,Rome,30165,Floyd Medical Center', 'GA,Rome,30165,Redmond Regional Medical Center', 'GA,Savannah,31405,Candler Hospital', 'GA,Stockbridge,30281,Piedmont Henry Hospital Inc', 'GA,Thomaston,30286,Upson Regional Medical Center', 'GA,Thomasville,31792,John D Archbold Memorial Hospital', 'GA,Tifton,31794,Tift Regional Medical Center', 'GA,Toccoa,30577,Stephens County Hospital', 'GA,Valdosta,31602,South Georgia Medical Center', 'GA,Warner Robins,31088,Houston Medical Center', 'GA,Waycross,31501,Memorial Satilla Health', 'GA,Waynesboro,30830,Burke Medical Center']
GA    2022-03-03 10-04  +2        ['GA,Atlanta,30329,Amber Specialty Pharmacy Atlanta', 'GA,Dalton,30720,Hamilton Medical Center']
GA    2022-03-16 18-51  -38       ['GA,Adel,31620,Southwell Medical', 'GA,Albany,31701,Phoebe North Hospital', 'GA,Albany,31701,Phoebe Putney Memorial Hospital', 'GA,Americus,31719,Phoebe Sumter Medical Center', 'GA,Athens,30606,Stmadmin', 'GA,Atlanta,30303,Grady Health Services', 'GA,Atlanta,30342,Northside Hospital Atlanta', 'GA,Augusta,30901,University Health Care System', 'GA,Baxley,31513,Appling Healthcare Systems', 'GA,Blairsville,30512,Union General Hospital Inc', 'GA,Blakey,39823,Lifebrite Community Hospital Of Ear', 'GA,Brunswick,31520,Sghs, Brunswick', 'GA,Camilla,31730,Mitchell County Hospital Pharmacy', 'GA,Cedartown,30125,Polk Medical Center', 'GA,Colquitt,39837,Hsp Auth Of Miller County', 'GA,Dalton,30720,Hamilton Medical Center', 'GA,Demorest,30535,Hospital Habersham Medical Center', 'GA,Forsyth,31029,Monroe County Hospital', 'GA,Fort Benning,31905,Martin Army Community Hosptial', 'GA,Fort Stewart,31314,Winn Army Community Hospital', "GA,Lavonia,30553,St. Mary'S Sacred Heart", 'GA,Macon,31201,Atrium Navicent The Medical Center', 'GA,Macon,31210,Atrium Navicent Rehabilitation', 'GA,Moultrie,31768,Colquitt Regional Medical Center', 'GA,Rome,30165,Redmond Regional Medical Center', 'GA,Savannah,31405,Candler Hospital', 'GA,Savannah,31419,St Josephs Hospital Inc', 'GA,Statesboro,30458,East Georgia Regional Med Center', 'GA,Stockbridge,30281,Piedmont Henry Hospital Inc', 'GA,Swainsboro,30401,Emanuel Medical Center', 'GA,Thomaston,30286,Upson Regional Medical Center', 'GA,Thomasville,31792,John D Archbold Memorial Hospital', 'GA,Tifton,31794,Tift Regional Medical Center', 'GA,Toccoa,30577,Stephens County Hospital', 'GA,Valdosta,31602,South Georgia Medical Center', 'GA,Warner Robins,31088,Houston Medical Center', 'GA,Waycross,31501,Memorial Satilla Health', 'GA,Waynesboro,30830,Burke Medical Center']
GA    2022-03-18 11-17  -3        ['GA,Columbus,31901,Piedmont Columbus Regional Midtown', 'GA,Gainesville,30501,Northeast Georgia Medical Center', 'GA,Lithia Springs,30122,Wellstar Health System, Inc']
GA    2022-03-19 11-58  +1        ['GA,Columbus,31901,Piedmont Columbus Regional Midtown']
GU    2022-02-22 09-09  -1        ['GU,Tamuning,96913,Guam Memorial Hospital Authority']
GU    2022-03-16 18-51  -1        ['GU,Tamuning,96913,Guam Memorial Hospital Authority']
HI    2022-03-08 14-40  +3        ['HI,Honolulu,96813,Queens Medical Center - Punchbowl', 'HI,Honolulu,96859,Tripler Army Medical Center', 'HI,Kamuela,96743,Queens North Hawaii Covid']
HI    2022-03-08 14-40  -1        ['HI,Honolulu,96819,Pharmerica - Honolulu']
HI    2022-03-16 18-51  +1        ['HI,Honolulu,96819,Pharmerica - Honolulu']
HI    2022-03-16 18-51  -3        ['HI,Honolulu,96813,Queens Medical Center - Punchbowl', 'HI,Honolulu,96859,Tripler Army Medical Center', 'HI,Kamuela,96743,Queens North Hawaii Covid']
HI    2022-03-18 09-58  -1        ['HI,Kailua,96734,Adventist Health Castle']
HI    2022-03-18 11-17  +1        ['HI,Kailua,96734,Adventist Health Castle']
ID    2022-02-22 09-09  -16       ['ID,Arco,83213,Lost River Hospital', 'ID,Blackfoot,83221,Bingham Memorial Hospital', 'ID,Boise,83712,St Lukes Pharmacy Central Boise', 'ID,Coeur D Alene,83814,Kootenai Health', 'ID,Cottonwood,83522,St Marys Hospital', 'ID,Driggs,83422,Teton Valley Hlth Care Inc', 'ID,Idaho Falls,83404,Blair Family Medicine', 'ID,Idaho Falls,83404,Mountain View Hospital', 'ID,Meridian,83642,Red Rock Pharmacy', 'ID,Moscow,83843,Gritman Medical Center', 'ID,Orofino,83544,Clearwater Valley Hospital', 'ID,Pocatello,83201,Portneuf Medical Center', 'ID,Pocatello,83201,Primary Care Specialists', 'ID,Preston,83263,Franklin County Medical Center', 'ID,Rexburg,83440,Madison Memorial Hospital', 'ID,Rexburg,83440,Teton Medical Group']
ID    2022-03-16 18-51  -15       ['ID,Arco,83213,Lost River Hospital', 'ID,Boise,83706,Saint Alphonsus Reg Med Center', 'ID,Bonners Ferry,83805,Bonners Ferry Family Medicine', 'ID,Coeur D Alene,83814,Kootenai Health', 'ID,Cottonwood,83522,St Marys Hospital', 'ID,Idaho Falls,83404,Blair Family Medicine', 'ID,Idaho Falls,83404,Mountain View Hospital', 'ID,Lewiston,83501,St. Joseph Regional Medical Center', 'ID,Malad City,83252,Nell J Redfield Memorial Hospital', 'ID,Meridian,83642,Red Rock Pharmacy', 'ID,Nampa,83687,Saint Alphonsus Med Cntr Nampa', 'ID,Orofino,83544,Clearwater Valley Hospital', 'ID,Pocatello,83201,Primary Care Specialists', 'ID,Rupert,83350,Minidoka Memorial Hospital', 'ID,Salmon,83467,Steele Memorial Medical Center']
ID    2022-03-18 09-58  -1        ['ID,Pocatello,83201,Portneuf Medical Center']
ID    2022-03-18 11-17  +1        ['ID,Idaho Falls,83404,Mountain View Hospital']
ID    2022-03-18 11-17  -1        ['ID,Rexburg,83440,Teton Medical Group']
IL    2022-02-22 09-09  -22       ['IL,Bloomington,61701,Osf St Joseph Medical Center', 'IL,Carthage,62321,Memorial Hospital Carthage', 'IL,Chicago,60623,Saint Anthony Hospital', 'IL,Chicago,60637,University Of Chicago Hospital', 'IL,Chicago,60644,Loretto Hospital', 'IL,Clinton,61727,Rural Health Center', 'IL,Danville,61832,Osf Sacred Heart Medical Danville', 'IL,Eldorado,62930,Ferrell Hospital', 'IL,Evergreen Park,60805,Osf Little Company Of Mary Pharm', 'IL,Lockport,60441,Duly Health And Care', 'IL,Lockport,60441,Lockport Express Medical', 'IL,Maryville,62062,Anderson Hospital', 'IL,Metropolis,62960,Massac Memorial Hospital', 'IL,Monticello,61856,Kirby Medical Center', 'IL,Peoria,61614,Osf St Francis Medical Center', 'IL,Quincy,62301,Blessing Hospital', 'IL,Rockford,61103,Javonbea Hospital - Rockton', 'IL,Rockford,61104,Swedish American Hospital Pharmacy', 'IL,Rockford,61108,Osf Healthcare - St. Anthony Medica', 'IL,Staunton,62088,Community Memorial Hospital', 'IL,Sterling,61081,Cgh Medical Center', 'IL,Urbana,61801,Carle Cancer Center']
IL    2022-03-03 10-04  -2        ['IL,Danville,61832,Osf Sacred Heart Medical Danville', 'IL,Evergreen Park,60805,Osf Little Company Of Mary Pharm']
IL    2022-03-08 14-40  +5        ['IL,Burr Ridge,60527,Metro Infectious Disease Consult', 'IL,Chicago,60611,Northwestern Memorial Hospital', 'IL,Danville,61832,Osf Sacred Heart Medical Danville', 'IL,Joliet,60435,Basingers Pharmacy', 'IL,Pittsfield,62363,Illini Community Hospital Pharmacy']
IL    2022-03-16 18-51  +2        ['IL,Alton,62002,Alton Memorial Hospital', 'IL,Quincy,62301,Illinois Veterans Home Quincy']
IL    2022-03-16 18-51  -5        ['IL,Chicago,60611,Northwestern Memorial Hospital', 'IL,Des Plaines,60018,Omnicare Of Northern Illinois', 'IL,Eldorado,62930,Ferrell Hospital', 'IL,Joliet,60435,Basingers Pharmacy', 'IL,Rockford,61103,Javonbea Hospital - Rockton']
IL    2022-03-18 09-58  +8        ['IL,Alton,,Alton Memorial Hospital', 'IL,Burr Ridge,,Metro Infectious Disease Consult', 'IL,Chicago,,University Of Illinois Hospital', 'IL,Eldorado,62930,Ferrell Hospital', 'IL,Lockport,,Lockport Express Medical', 'IL,Quincy,,Quincy Medical Group', 'IL,Rockford,,Osf Healthcare - St. Anthony Medica', 'IL,Staunton,,Community Memorial Hospital']
IL    2022-03-18 09-58  -7        ['IL,Alton,62002,Alton Memorial Hospital', 'IL,Burr Ridge,60527,Metro Infectious Disease Consult', 'IL,Chicago,60612,University Of Illinois Hospital', 'IL,Lockport,60441,Lockport Express Medical', 'IL,Quincy,62301,Quincy Medical Group', 'IL,Rockford,61108,Osf Healthcare - St. Anthony Medica', 'IL,Staunton,62088,Community Memorial Hospital']
IL    2022-03-18 11-17  +9        ['IL,Alton,62002,Alton Memorial Hospital', 'IL,Burr Ridge,60527,Metro Infectious Disease Consult', 'IL,Chicago,60611,Northwestern Memorial Hospital', 'IL,Chicago,60612,University Of Illinois Hospital', 'IL,Lockport,60441,Lockport Express Medical', 'IL,Quincy,62301,Quincy Medical Group', 'IL,Rockford,61108,Osf Healthcare - St. Anthony Medica', 'IL,Springfield,62781,Memorial Medical Center', 'IL,Staunton,62088,Community Memorial Hospital']
IL    2022-03-18 11-17  -9        ['IL,Alton,,Alton Memorial Hospital', 'IL,Burr Ridge,,Metro Infectious Disease Consult', 'IL,Chicago,,University Of Illinois Hospital', 'IL,Lockport,,Lockport Express Medical', 'IL,Quincy,,Quincy Medical Group', 'IL,Rockford,,Osf Healthcare - St. Anthony Medica', 'IL,Staunton,,Community Memorial Hospital', 'IL,Sterling,61081,Cgh Medical Center', 'IL,Urbana,61801,Carle Cancer Center']
IL    2022-03-19 11-58  -1        ['IL,Burr Ridge,60527,Metro Infectious Disease Consult']
IN    2022-02-22 09-09  -31       ['IN,Anderson,46016,St Vincent Anderson Regional Hospit', 'IN,Danville,46122,Hendricks Regional Hospital', 'IN,East Chicago,46312,Ccn Saint Catherine Hospital', 'IN,Evansville,47710,Deaconess Midtown Hospital', 'IN,Evansville,47714,St Vincent Evansville', 'IN,Gary,46402,Methodist Hospitals - Northlake', 'IN,Greensburg,47240,Decatur County Memorial Hospital', 'IN,Hobart,46342,St Mary Medical Center', 'IN,Indianapolis,46202,Eskenazi Health Center', 'IN,Indianapolis,46202,Iuh Methodist Hospital', 'IN,Indianapolis,46202,Riley Hosp For Children Iuh', 'IN,Indianapolis,46250,Amerimed Home Infusion Pharmacy', 'IN,Indianapolis,46256,Dr. Aziz Pharmacy', 'IN,Indianapolis,46260,St Vincent Hospital And Health Care', 'IN,Jeffersonville,47130,Clark Memorial Hospital', 'IN,Jeffersonville,47130,Kentuckiana Medicine', 'IN,Kokomo,46901,Ascension St. Vincent Kokomo', 'IN,Kokomo,46902,Community Howard Regional Health', 'IN,Lebanon,46052,Witham Health Services', 'IN,Merrillville,46410,Methodist Hospitals - Southlake', 'IN,Monticello,47960,Iuh White Memorial Hospital', 'IN,Muncie,47303,Iu Health Ball Memorial Hospital', 'IN,Noblesville,46060,Riverview Hospital', 'IN,Paoli,47454,Iuh Paoli Hospital', 'IN,Portland,47371,Iuh Jay', 'IN,Richmond,47374,Reid Health', 'IN,Scottsburg,47170,Scott Memorial Health', 'IN,Seymour,47274,Schneck Medical Center', 'IN,South Bend,46601,Memorial Hospital Of South Bend', 'IN,Terre Haute,47804,Union Hospital', 'IN,Vincennes,47591,Good Samaritan Hospital']
IN    2022-03-03 10-04  +7        ['IN,Bluffton,46714,Bluffton Regional Medical Center', 'IN,Fort Wayne,46802,Lutheran Downtown Hospital', 'IN,Fort Wayne,46825,Dupont Hospital', 'IN,Indianapolis,46260,Priority Physicians, P.C.', 'IN,Mishawaka,46545,St Joseph Reg Med Ctr-South Bend', 'IN,Peru,46970,Dukes Memorial Hospital', 'IN,Warsaw,46580,Kosciusko Community Hospital']
IN    2022-03-08 14-40  +1        ['IN,Greenfield,46140,Hancock Regional Hospital']
IN    2022-03-16 18-51  +1        ['IN,Indianapolis,46219,Community Health Network']
