provider_name,address1,address2,city,state,zip,last_report_date,public_website,phone_number,geopoint
"AFC Urgent Care, Trumbull",57 Monroe Turnpike,,Trumbull,CT,06611,2022-07-15T00:00:00.000,,,POINT (-73.23453 41.29083)
Docs Medical Waterbury,279 Chase Ave,,Waterbury,CT,06704,2022-07-14T00:00:00.000,,,POINT (-73.034575 41.58115)
PhysicianOne UrgCare/Waterbury,920 Wolcott Street; Ste 19,,Waterbury,CT,06705,2022-07-12T00:00:00.000,,,POINT (-73.008241 41.565886)
CVS Store #01960,1279 WEST MAIN STREET,CVS Pharmacy,Waterbury,CT,06708,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-73.06393 41.55161)
PhysicianOne UrgCare/West Hartford,"21 North Main Street, Suite B",,West Hartford,CT,06107,2022-07-12T00:00:00.000,,,POINT (-72.74254 41.763605)
Family Health Care - Walk In Center,39 Route 171,,Woodstock,CT,06281,2022-07-14T00:00:00.000,,,POINT (-71.962959 41.937941)
BREAD FOR THE CITYS NW CTR,1525 7th St Nw,,Washington,DC,20001,2022-07-11T00:00:00.000,http://www.breadforthecity.org,202-386-7020,POINT (-77.021525 38.910165)
CVS Store #10685,675 K STREET NW,CVS Pharmacy,Washington,DC,20001,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.02131 38.90279)
CVS Store #01340,"845 BLADENSBURG RD., N.E.",CVS Pharmacy,Washington,DC,20002,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.98207 38.90126)
CVS Store #01842,1275 PENNSYLVANIA AVENUE NW,CVS Pharmacy,Washington,DC,20004,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.02891 38.8957)
CVS Store #02204,"4859 MACARTHUR BOULEVARD, NW",CVS Pharmacy,Washington,DC,20007,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.09544 38.916775)
CVS Store #02378,2226 WISCONSIN AVENUE NW,CVS Pharmacy,Washington,DC,20007,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.071575 38.919835)
FORT TOTTEN DC,100 Gallatin St NE,,Washington,DC,20011,2022-07-16T00:00:00.000,http://www.maryscenter.org,202-483-8196,POINT (-77.00748 38.95287)
CVS Store #02174,"4555 WISCONSIN AVENUE, NW",CVS Pharmacy,Washington,DC,20016,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.08007 38.9494)
CVS Store #00022,320 40TH STREET NE,CVS Pharmacy,Washington,DC,20019,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.94749 38.89304)
KENILWORTH,1627 Kenilworth Ave NE,,Washington,DC,20019,2022-07-04T00:00:00.000,http://www.eechealth.com/,202-803-2340 x32340,POINT (-76.93396 38.91171)
PARKSIDE HEALTH CENTER,765 Kenilworth Terrace NE,,Washington,DC,20019,2022-07-06T00:00:00.000,http://www.unityhealthcare.org,202-469-4699,POINT (-76.947395 38.900355)
FAM AND MED COUNSELING SERVICE INC,2041 Martin Luther King Jr. Ave SE,Suite 303,Washington,DC,20020,2022-07-11T00:00:00.000,http://www.fmcsinc.org,202-889-7900,POINT (-76.98981 38.865945)
MAX ROBINSON CTR,2301 Martin Luther King Jr Ave SE,,Washington,DC,20020,2022-07-14T00:00:00.000,http://www.whitman-walker.org,202-745-7000,POINT (-76.991335 38.86353)
COMM OF HOPE CONWAY HLTH CTR,4 Atlantic St SW,Conway Health Resource Center,Washington,DC,20032,2022-07-05T00:00:00.000,http://www.communityofhopedc.org,202-232-7356,POINT (-77.00775 38.83131)
CVS Store #01347,6 DUPONT CIRCLE NW,CVS Pharmacy,Washington,DC,20036,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.044505 38.909445)
CVS Store #07074,2240 M ST NW,CVS Pharmacy,Washington,DC,20037,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.04944 38.90506)
Dilorenzo Tri-Care Health Clinic,5801 ARMY PENTAGON RM MF917A,,Washington,DC,20310,,,,POINT (-77.027571 38.881069)
WESTSIDE FAMHLTHCARE BEAR NEWCASTLE,404 Fox Hunt Dr,,Bear,DE,19701,2022-07-11T00:00:00.000,http://www.westsidehealth.org,302-836-2864,POINT (-75.70929 39.60784)
NEWARK URGENT CARE,324 E Main Street,,Newark,DE,19711,2022-07-17T00:00:00.000,,,POINT (-75.73994 39.68433)
HENRIETTA JOHNSON MED CTR,601 New Castle Ave,,Wilmington,DE,19801,2022-07-15T00:00:00.000,http://www.hjmc.org,302-655-6187,POINT (-75.54377 39.7275)
CVS Store #03150,221 S STATE RD 434,CVS Pharmacy,Altamonte Springs,FL,32714,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.41896 28.66073)
CVS Store #03253,1098 MONTGOMERY RD,CVS Pharmacy,Altamonte Springs,FL,32714,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.40403 28.68679)
WALGREENS STORE #09016,200 W STATE ROAD 436,,Altamonte Springs,FL,32714,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-200+w+road+road%20436-altamonte%20springs-fl-32714/id=9016,,POINT (-81.3909 28.661425)
TGH Urgent Care - Apollo Beach,6182 North U.S. Highway 41,,Apollo Beach,FL,33572,2022-07-15T00:00:00.000,,,POINT (-82.393723 27.767505)
CHC-APOPKA FAMILY CARE,225 E 7th St,,Apopka,FL,32703,2022-07-07T00:00:00.000,,,POINT (-81.50684 28.66983)
CVS Store #03748,65 E MAIN ST,CVS Pharmacy,Apopka,FL,32703,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.509895 28.673625)
CVS Store #03127,99 MAGNOLIA AVE,CVS Pharmacy,Auburndale,FL,33823,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.78366 28.05795)
WALGREENS STORE #05519,21880 STATE ROAD 7,,Boca Raton,FL,33428,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-21880+state+road+road%207-boca-raton-fl-33428/id=5519,,POINT (-80.202197 26.35064)
CVS Store #07982,520 S. FEDERAL HWY.,CVS Pharmacy,Boca Raton,FL,33432,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.08568 26.344785)
CVS Store #08372,7016 BERA CASA WAY,CVS Pharmacy,Boca Raton,FL,33433,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.15481 26.35222)
CVS Store #07173,"6651 N. MILITARY TRAIL, SUITE 100",CVS Pharmacy,Boca Raton,FL,33496,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.12233 26.4089)
CVS Store #17288,650 N CONGRESS AVE,CVS Pharmacy,Boynton Beach,FL,33426,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.08857 26.53358)
BRADENTON FAMILY MEDICAL CENTER,1505 26th Ave E,,Bradenton,FL,34208,2022-07-15T00:00:00.000,http://www.mcrhs.org,941-753-7843,POINT (-82.5453 27.47758)
CVS Store #05780,4302 CORTEZ RD. WEST,CVS Pharmacy,Bradenton,FL,34210,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.60462 27.463075)
BRANDON COMMUNITY HEALTH CENTER,313 S. Lakewood Dr,,Brandon,FL,33511,2022-07-15T00:00:00.000,,813-349-7900,POINT (-82.3098 27.93312)
MD NOW - Brandon,10943 Causeway Boulevard Brandon,,Brandon,FL,33511,2022-07-14T00:00:00.000,,,POINT (-82.32918 27.92233)
TGH Urgent Care - Brandon,799 West Lumsden Rd,,Brandon,FL,33511,2022-07-15T00:00:00.000,,,POINT (-82.29693 27.92272)
WALGREENS STORE #04962,128 E BRANDON BLVD,,Brandon,FL,33511,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-128+e+brandon+blvd-brandon-fl-33511/id=4962,,POINT (-82.28514 27.93806)
CVS Store #03637,542325 US HIGHWAY 1,CVS Pharmacy,Callahan,FL,32011,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.82981 30.56286)
CVS Store #01055,2090 S HIGHWAY 29,CVS Pharmacy,Cantonment,FL,32533,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-87.290226 30.570625)
CVS Store #01067,737 CAPE CORAL PKWY E,CVS Pharmacy,Cape Coral,FL,33904,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.958495 26.563265)
WALGREENS STORE #05399,955 S WINTER PARK DR,,Casselberry,FL,32707,2022-07-14T00:00:00.000,https://www.walgreens.com/findcare/services,,POINT (-81.323008 28.648105)
CVS Store #03686,30387 US HWY 19 N,CVS Pharmacy,Clearwater,FL,33761,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.737713 28.04848)
CVS Store #05817,1800 E. HWY 50,CVS Pharmacy,Clermont,FL,34711,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.7228 28.547605)
WALGREENS STORE #06528,4400 S HIGHWAY 27,,Clermont,FL,34711,2022-07-14T00:00:00.000,https://www.walgreens.com/findcare/services,,POINT (-81.71818 28.49883)
WALGREENS STORE #04803,11105 STIRLING RD,,Cooper City,FL,33328,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-11105+stirling+rd-cooper-city-fl-33328/id=4803,,POINT (-80.2965 26.04474)
CVS Store #07933,4701 S FLAMINGO ROAD,CVS Pharmacy,Cooper City,FL,33330,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.314447 26.062855)
WALGREENS STORE #03317,4200 SW 8TH ST,,Coral Gables,FL,33134,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-4200+sw+8th+st-coral-gables-fl-33134/id=3317,,POINT (-80.26423 25.764175)
CVS Store #05930,5701 CORAL RIDGE DR.,CVS Pharmacy,Coral Springs,FL,33076,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.27821 26.29774)
CVS Store #05069,2668 CRAWFORDVILLE HWY,CVS Pharmacy,Crawfordville,FL,32327,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-84.37293 30.19219)
CVS Store #04015,302 E. JAMES LEE BLVD.,CVS Pharmacy,Crestview,FL,32539,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-86.56948 30.76233)
MD NOW - CUTLER BAY,18851 S. DIXIE HWY,,Cutler Bay,FL,33157,2022-07-14T00:00:00.000,,,POINT (-80.35715 25.591665)
WALGREENS STORE #11104,40079 HIGHWAY 27,,Davenport,FL,33837,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-40079+highway+highway+highway%2027-davenport-fl-33837/id=11104,,POINT (-81.63899 28.17992)
CVS Store #01750,7575 OSCEOLA POLK LINE RD.,CVS Pharmacy,Davenport,FL,33896,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.57654 28.26085)
CVS Store #03291,4610 S UNIVERSITY DR,CVS Pharmacy,Davie,FL,33328,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.251565 26.063775)
CVS Store #17115,5800 S UNIVERSITY DR,CVS Pharmacy,Davie,FL,33328,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.25089 26.04869)
MD NOW - DAVIE,2571 South University Drive,,Davie,FL,33328,2022-07-14T00:00:00.000,,,POINT (-80.2519 26.0888)
CVS Store #17180,3599 W HILLSBORO BLVD,CVS Pharmacy,Deerfield Beach,FL,33442,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.15107 26.31948)
CVS Store #00214,901 N WOODLAND BLVD,CVS Pharmacy,Deland,FL,32720,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.303375 29.04318)
CVS Store #01821,1690 S FEDERAL HWY,CVS Pharmacy,Delray Beach,FL,33483,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.07063 26.44172)
CVS Store #05854,2187 HOWLAND BLVD.,CVS Pharmacy,Deltona,FL,32738,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.19109 28.92481)
CVS Store #03705,10701 NW 41ST ST,CVS Pharmacy,Doral,FL,33178,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.36841 25.81173)
CVS Store #04987,2175 MAIN ST.,CVS Pharmacy,Dunedin,FL,34698,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.747517 28.018865)
96TH MEDICAL SUPPORT SQ/SGSM,307 Boatner Road,Bldg 2825 Suite 1,Eglin Afb,FL,32542,,,,POINT (-86.55348 30.46359)
CVS Store #03281,11241 MIROMAR SQUARE BLVD,CVS Pharmacy,Estero,FL,33928,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.77059 26.435255)
CVS Store #04201,2240 E SUNRISE BLVD,CVS Pharmacy,Fort Lauderdale,FL,33304,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.11756 26.13712)
CVS Store #03285,1700 S. FEDERAL HWY.,CVS Pharmacy,Fort Lauderdale,FL,33316,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.13621 26.0998)
MD NOW - HARLEM HEIGHTS,15165 MCGREGOR BLVD.,,Fort Myers,FL,33908,2022-07-14T00:00:00.000,,,POINT (-81.939955 26.520745)
SOZO WELLNESS PHARMACY,3510 DR MARTIN LUTHER KING JR BLVD,STE 1,Fort Myers,FL,33916,2022-06-21T00:00:00.000,,,POINT (-81.8184 26.63283)
FLORIDA COMMUNITY HC - FORT PIERCE,1505 Delaware Ave,,Fort Pierce,FL,34950,2022-07-15T00:00:00.000,http://www.fchcinc.org,772-461-1402,POINT (-80.33937 27.44316)
CVS Store #01815,4354 NW 23RD AVE,CVS Pharmacy,Gainesville,FL,32606,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.38957 29.67452)
CVS Store #03255,3404 SW ARCHER RD,CVS Pharmacy,Gainesville,FL,32608,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.37324 29.62713)
CVS Store #05176,225 GULF BREEZE PKWY.,CVS Pharmacy,Gulf Breeze,FL,32561,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-87.17116 30.36582)
MD NOW - HALLANDALE BEACH,415 EAST HALLANDALE BEACH BLVD,,Hallandale Beach,FL,33009,2022-07-14T00:00:00.000,,,POINT (-80.143395 25.985905)
WALGREENS STORE #04402,1300 E HALLANDALE BEACH BLVD,,Hallandale Beach,FL,33009,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-1300+e+hallandale+beach+blvd-hallandale-beach-fl-33009/id=4402,,POINT (-80.13486 25.9852)
CITRUS HLTH NETWORK INC,4175 W 20th Ave,,Hialeah,FL,33012,2022-07-15T00:00:00.000,http://www.citrushealth.com,305-825-0300,POINT (-80.32164 25.859725)
WALGREENS STORE #05293,4895 PALM AVE,,Hialeah,FL,33012,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-4895+palm+ave-hialeah-fl-33012/id=5293,,POINT (-80.28273 25.866425)
MD NOW - HOLLYWOOD,2502 N STATE ROAD 7,,Hollywood,FL,33021,2022-07-14T00:00:00.000,,,POINT (-80.20822 26.031073)
MARION E FETHER MEDICAL CENTER,1454 Madison Ave W,,Immokalee,FL,34142,2022-07-11T00:00:00.000,http://www.collier.org,239-658-3000,POINT (-81.43194 26.442715)
IM SULZBACHER CTR FOR  HOMELESS,611 East Adams St,Medical,Jacksonville,FL,32202,2022-07-15T00:00:00.000,http://www.sulzbachercenter.org,904-394-8100,POINT (-81.649152 30.326855)
CVS Store #01114,4475 SAN JUAN AVE.,CVS Pharmacy,Jacksonville,FL,32210,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.71969 30.28265)
NH Jacksonville FL,2080 Child Street,BLDG H2091,Jacksonville,FL,32214,2022-04-28T00:00:00.000,,,POINT (-81.68405 30.20855)
CVS Store #05254,4280 SOUTHSIDE BLVD,CVS Pharmacy,Jacksonville,FL,32216,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.559666 30.27008)
AGAPE DUNN AVENUE,1680 Dunn Avenue,Suite 35,Jacksonville,FL,32218,2022-07-15T00:00:00.000,,904-760-4904,POINT (-81.65791 30.42911)
CVS Store #04415,50 DUVAL STATION RD.,CVS Pharmacy,Jacksonville,FL,32218,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.62467 30.48949)
CVS Store #05190,430 SR 13,CVS Pharmacy,Jacksonville,FL,32259,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.626 30.12082)
CVS Store #08377,120 ST. JOHNS COMMONS RD,CVS Pharmacy,Jacksonville,FL,32259,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.51174 30.06676)
WALGREENS STORE #09026,105 JULINGTON PLAZA DR,,Jacksonville,FL,32259,2022-07-14T00:00:00.000,https://www.walgreens.com/findcare/services,,POINT (-81.593175 30.115555)
CVS Store #03648,3634 ROGERO RD,CVS Pharmacy,Jacksonville,FL,32277,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.58832 30.36581)
WALGREENS STORE #03357,7224 MERRILL RD,,Jacksonville,FL,32277,2022-07-14T00:00:00.000,https://www.walgreens.com/findcare/services,,POINT (-81.577031 30.351585)
CVS Store #03236,726 CRANDON BOULEVARD,CVS Pharmacy,Key Biscayne,FL,33149,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.16358 25.6873)
CVS Store #00476,2454 E. IRLO BRONSON MEMORIAL HWY,CVS Pharmacy,Kissimmee,FL,34744,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.345128 28.279325)
OSCEOLA - STADIUM PLACE,1503 Bill Beck Blvd,,Kissimmee,FL,34744,2022-07-15T00:00:00.000,http://www.osceolahealthcare.org,407-943-8600,POINT (-81.365142 28.305145)
WALGREENS STORE #07493,3001 SIMPSON RD,,Kissimmee,FL,34744,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-3001+simpson+simpson+rd-kissimmee-fl-34744/id=7493,,POINT (-81.325577 28.342045)
CVS Store #02761,5308 W. IRLO BRONSON MEMORIAL HWY,CVS Pharmacy,Kissimmee,FL,34746,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.496045 28.33203)
CVS Store #07973,"4500 PLEASANT HILL RD.,",CVS Pharmacy,Kissimmee,FL,34746,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.44071 28.15507)
MD NOW - LAKE WORTH,4570 LANTANA RD,,Lake Worth,FL,33463,2022-07-14T00:00:00.000,,,POINT (-80.11598 26.58821)
CVS Store #07891,8954 LANTANA RD,CVS Pharmacy,Lake Worth,FL,33467,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.188585 26.5901)
WALGREENS STORE #05855,410 OLD POLK CITY RD,,Lakeland,FL,33809,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-410+old+city+rd-lakeland-fl-33809/id=5855,,POINT (-81.945977 28.12892)
CVS Store #03204,5010 S FLORIDA AVE,CVS Pharmacy,Lakeland,FL,33813,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.959652 27.97447)
WALGREENS STORE #06494,22829 STATE ROAD 54,,Land O Lakes,FL,34639,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-22829+state+road+road%2054-land-lakes-fl-34639/id=6494,,POINT (-82.43849 28.18666)
WALGREENS STORE #05326,800 WEST BAY DR,,Largo,FL,33770,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-800+west+bay+dr-largo-fl-33770/id=5326,,POINT (-82.797065 27.91724)
CVS Store #03463,8905 BRYAN DAIRY RD,CVS Pharmacy,Largo,FL,33777,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.76238 27.87249)
WALGREENS STORE #06163,2010 CITRUS BLVD,,Leesburg,FL,34748,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-2010+citrus+citrus+blvd-leesburg-fl-34748/id=6163,,POINT (-81.891978 28.83861)
CVS Store #01807,1350 LEE BLVD,CVS Pharmacy,Lehigh Acres,FL,33936,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.65408 26.61449)
TGH Urgent Care - Lithia,5464 Lithia Pinecrest Rd,,Lithia,FL,33547,2022-07-15T00:00:00.000,,,POINT (-82.20253 27.86355)
CVS Store #01771,2322 LAND O LAKES BLVD,CVS Pharmacy,Lutz,FL,33549,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.46516 28.1911)
CVS Store #07980,121 W. MACCLENNY AVE.,CVS Pharmacy,Macclenny,FL,32063,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.124337 30.282645)
6th MDG MacDill AFB,3250 Zemke Ave,Bldg 1078,Macdill Afb,FL,33621,2022-04-28T00:00:00.000,,,POINT (-82.50071 27.86012)
CVS Store #02997,15129 MADEIRA WAY,CVS Pharmacy,Madeira Beach,FL,33708,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.80194 27.80245)
MD NOW - SOUTH MARGATE,2980 US 441,,Margate,FL,33063,2022-07-14T00:00:00.000,,,POINT (-80.20113 26.265925)
CVS Store #03245,4684 HIGHWAY 90,CVS Pharmacy,Marianna,FL,32446,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-85.2038 30.769215)
CVS Store #03003,71 MARY ESTHER BLVD,CVS Pharmacy,Mary Esther,FL,32569,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-86.655252 30.409685)
CVS Store #10711,16801 NW 67 AVE,CVS Pharmacy,Miami,FL,33015,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.30931 25.92502)
Care Resource CHC at Miami,3510 Biscayne Blvd,medical - floor 2,Miami,FL,33137,,,,POINT (-80.18997 25.80962)
JESSIE TRICE  - MAIN,5361 NW 22nd Avenue,,Miami,FL,33142,2022-07-12T00:00:00.000,http://www.jtchs.org,305-637-6400,POINT (-80.232591 25.824089)
CVS Store #05924,8765 S. DIXIE HWY.,CVS Pharmacy,Miami,FL,33143,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.30712 25.68931)
MD NOW- BIRD ROAD,4001 SW 72ND AVE,,Miami,FL,33155,2022-07-14T00:00:00.000,,,POINT (-80.310665 25.73273)
CVS Store #17661,7800 SW 104TH ST,CVS Pharmacy,Miami,FL,33156,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.32261 25.67249)
CVS Store #05136,11398 QUAIL ROOST DR.,CVS Pharmacy,Miami,FL,33157,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.37772 25.59254)
CVS Store #10699,8740 BIRD ROAD,CVS Pharmacy,Miami,FL,33165,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.33692 25.73025)
WALGREENS STORE #03318,11690 SW 72ND ST,,Miami,FL,33173,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-11690+sw+72nd+st-miami-fl-33173/id=3318,,POINT (-80.38166 25.700015)
CVS Store #17665,10101 W FLAGLER ST,CVS Pharmacy,Miami,FL,33174,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.36038 25.77106)
MD NOW - WEST FLAGLER,9971 W.FLAGLER ST.,SUITE B240,Miami,FL,33174,2022-07-14T00:00:00.000,,,POINT (-80.35785 25.76895)
WALGREENS STORE #02832,4010 SW 137TH AVE,,Miami,FL,33175,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-4010+sw+137th+ave-miami-fl-33175/id=2832,,POINT (-80.41628 25.73076)
WALGREENS STORE #03721,15255 SW 137TH AVE,,Miami,FL,33177,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-15255+sw+137th+ave-miami-fl-33177/id=3721,,POINT (-80.413885 25.62516)
MBCHC NORTH SUITE 103 AND 104,"11645 Biscayne Blvd, Ste 103-104",,Miami,FL,33181,2022-07-15T00:00:00.000,http://miamibeachhealth.org,305-538-8835,POINT (-80.16521 25.88312)
CVS Store #03401,12955 SW 112TH ST,CVS Pharmacy,Miami,FL,33186,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.406625 25.66441)
CVS Store #05010,312 LINCOLN ROAD,CVS Pharmacy,Miami Beach,FL,33139,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.130985 25.79018)
CVS Store #04449,6501 CAROLINE ST HWY 90,CVS Pharmacy,Milton,FL,32570,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-87.05084 30.61669)
WALGREENS STORE #11484,200 SOUTHERN BREEZE DR,,Minneola,FL,34715,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-200+southern+breeze+dr-minneola-fl-34715/id=11484,,POINT (-81.751185 28.59086)
CVS Store #07887,12401 MIRAMAR PKWY.,CVS Pharmacy,Miramar,FL,33027,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.31257 25.97906)
MD NOW - N MIAMI BEACH,1770 NE MIAMI GARDENS DR,,N Miami Beach,FL,33179,2022-07-14T00:00:00.000,,,POINT (-80.165464 25.946033)
CVS Store #05187,2375 VANDERBILT BEACH RD,CVS Pharmacy,Naples,FL,34109,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.76994 26.24433)
CVS Store #08927,8831 IMMOKALEE RD.,CVS Pharmacy,Naples,FL,34120,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.688495 26.27434)
WALGREENS STORE #09535,8220 NAVARRE PKWY,,Navarre,FL,32566,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-8220+navarre+pkwy-navarre-fl-32566/id=9535,,POINT (-86.879242 30.40225)
WALGREENS STORE #05857,7420 STATE ROAD 54,,New Port Richey,FL,34653,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-7420+state+road+road%2054-new-richey-fl-34653/id=5857,,POINT (-82.69214 28.21668)
CVS Store #03703,10925 SR 54,CVS Pharmacy,New Port Richey,FL,34655,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.63431 28.19367)
CVS Store #04612,4562 HWY 20 E,CVS Pharmacy,Niceville,FL,32578,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-86.41628 30.48421)
WALGREENS STORE #00748,12295 BISCAYNE BLVD,,North Miami,FL,33181,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-12295+biscayne+blvd-north-miami-fl-33181/id=748,,POINT (-80.1637 25.88916)
URGENT CARE OF THE PALM BEACHES,"11951 us highway 1, suite 108",SUITE 108,North Palm Beach,FL,33408,2022-07-17T00:00:00.000,,,POINT (-80.0598 26.8513)
WALGREENS STORE #04810,601 E COMMERCIAL BLVD,,Oakland Park,FL,33334,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-601+e+commercial+blvd-oakland-park-fl-33334/id=4810,,POINT (-80.13846 26.189295)
