2022-02-18T16-04-21,38834,MAGNOLIA REGIONAL HEALTH CENTER,02/16/2022 12:00:00 AM,,5,,
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-25T05-39-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-26T07-59-29,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-26T07-59-29,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-26T07-59-29,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-26T07-59-29,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-26T07-59-29,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-26T07-59-29,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,28,05/20/2022 12:00:00 AM
2022-05-27T05-48-57,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-27T05-48-57,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,31,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-28T05-34-18,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,31,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-29T05-31-58,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,31,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-30T05-32-42,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,31,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-05-31T08-56-01,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,31,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-06-01T05-37-50,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,19,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-06-02T07-54-10,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,19,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-06-03T08-50-11,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,19,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,8,06/02/2022 12:00:00 AM
2022-06-04T19-11-08,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-06-05T08-48-25,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
2022-06-05T08-48-25,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,8,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,8,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,38834,Physicians Urgent Care,NLP,NLP,NLP,0,02/18/2022 12:00:00 AM
