2022-02-18T16-04-21,35801,TRINITY MEDICAL CENTER,02/16/2022 12:00:00 AM,,5,0,02/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-25T05-39-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,135,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-26T07-59-29,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,121,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-26T07-59-29,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,121,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-26T07-59-29,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,121,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-27T05-48-57,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,116,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-28T05-34-18,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,109,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,35801,TRINITY MEDICAL CENTER,NLP,NLP,NLP,0,03/16/2022 12:00:00 AM
2022-05-29T05-31-58,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,109,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,109,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,109,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,102,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,95,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,95,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,73,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,73,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,73,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,67,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,58,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,50,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-13T04-15-40,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-14T04-15-16,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,39,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,34,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,25,06/15/2022 12:00:00 AM
2022-06-17T04-15-27,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,85,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,81,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,81,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,81,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,73,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,68,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,62,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,56,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,49,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,49,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,49,06/24/2022 12:00:00 AM
2022-06-28T04-15-44,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,42,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,37,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,32,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,30,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,36,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,35801,HUNTSVILLE HOSPITAL FEVER AND FLU,NLP,NLP,NLP,36,07/01/2022 12:00:00 AM
