2022-02-18T16-04-21,96799,LBJ TROPICAL MEDICAL CENTER,02/15/2022 12:00:00 AM,,90,,
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/23/2022 12:00:00 AM
2022-05-23T07-42-39,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/24/2022 12:00:00 AM
2022-05-24T05-46-03,96799,Amouli Community Health Center,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96799,LBJ TROPICAL MEDICAL CENTER,NLP,NLP,NLP,59,05/25/2022 12:00:00 AM
2022-05-25T05-39-27,96799,Amouli Community Health Center,NLP,NLP,NLP,9,05/25/2022 12:00:00 AM
