Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date
Rite Aid 10811,1166 CENTRAL AVENUE,,DUNKIRK,CHAUTAUQUA,NY,14048-3603,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Rite Aid 04062,900 SUNRISE AVENUE,,ROSEVILLE,PLACER,CA,95661-4507,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
Rite Aid 00260,1000 PENNSYLVANIA AVENUE,,ELMIRA,CHEMUNG,NY,14904-2609,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Rite Aid 00245,2 CUMBERLAND STREET,,LEBANON,LEBANON,PA,17042-5444,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Rite Aid 11143,3807 W LINCOLN HWY,,DOWNINGTOWN,CHESTER,PA,19335,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
Rite Aid 05853,456 S MADERA AVENUE,,KERMAN,FRESNO,CA,93630-1019,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
SAV-ON PHARMACY,1024 21ST ST,,Lewiston,NEZ PERCE,ID,83501,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
SAV-ON PHARMACY,1024 21ST ST,,Lewiston,NEZ PERCE,ID,83501,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
TOM THUMB PHARMACY,2380 N Field St,,Dallas,DALLAS,TX,75201,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
SAV-ON PHARMACY,4415 W 7TH ST,,Texarkana,BOWIE,TX,75501,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Rite Aid 06099,975 EAST CYPRESS AVENUE,,REDDING,SHASTA,CA,96002-1001,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
HEB Pharmacy 662,3502 PALMER HIGHWAY,,TEXAS CITY,GALVESTON,TX,77590-6548,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM
Rite Aid 02277,1799 THIRD STREET,,BEAVER,BEAVER,PA,15009-2422,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
Rite Aid 02017,762 EAST JOHNSON HIGHWAY,,NORRISTOWN,MONTGOMERY,PA,19401-3110,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
RANDALLS PHARMACY,525 SOUTH FRY RD,,Katy,HARRIS,TX,77450,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
MARKET STREET PHARMACY,3145 E. Broad St.,,Mansfield,TARRANT,TX,76063,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
HEB Pharmacy 543,1900 TEXAS AVENUE SOUTH,,COLLEGE STATION,BRAZOS,TX,77840-3914,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM
HEB Pharmacy 543,1900 TEXAS AVENUE SOUTH,,COLLEGE STATION,BRAZOS,TX,77840-3914,0069-1085-30,Paxlovid,12/25/2021 12:00:00 AM
HEB Pharmacy 735,1503 FM 1431,,MARBLE FALLS,BURNET,TX,78654-4902,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM
Rite Aid 03741,515 NORTH MAIN STREET,,SUFFOLK,SUFFOLK CITY,VA,23434-4426,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
RANDALLS PHARMACY,4800 W BELLFORT st,,Houston,HARRIS,TX,77035,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
UNITED PHARMACY,5807 Sw 45th AVE STE 100,,Amarillo,RANDALL,TX,79109,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Rite Aid 10817,459 SOUTH TRANSIT STREET,,LOCKPORT,NIAGARA,NY,14094-5506,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Rite Aid 05862,1210 NORTH BLACKSTONE AVENUE,,FRESNO,FRESNO,CA,93703-3606,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
Rite Aid 11016,24 EAST AVENUE,,WELLSBORO,TIOGA,PA,16901-1612,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
TOM THUMB PHARMACY,3411 Custer Pkwy,,Richardson,DALLAS,TX,75080,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
SAV-ON PHARMACY,330 E BENTON ST,,Pocatello,BANNOCK,ID,83201,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
SAV-ON PHARMACY,330 E BENTON ST,,Pocatello,BANNOCK,ID,83201,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
CVS Store #05350,182 SOUTH RIDGE ST,CVS Pharmacy,RYE BROOK,WESTCHESTER,NY,10573,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
CVS Store #04539,25-43 PROSPECT ST.,CVS Pharmacy,YONKERS,WESTCHESTER,NY,10701,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
CVS Store #02685,1253 DIX AVE.,CVS Pharmacy,HUDSON FALLS,WASHINGTON,NY,12839,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
CVS Store #03099,480 MONTAUK HWY.,CVS Pharmacy,BAY SHORE,SUFFOLK,NY,11706,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
CVS Store #00831,935 RIDGE ROAD,CVS Pharmacy,WEBSTER,MONROE,NY,14580,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
CVS Store #05054,100 EAST LAKE BLVD,CVS Pharmacy,MAHOPAC,PUTNAM,NY,10541,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Meijer Store 158,1997 E BELTLINE AVE NE,,Grand Rapids,KENT,MI,49525,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Walmart Pharmacy #863,4180 Highway 431,,Roanoke,RANDOLPH,AL,36274,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #1487,5780 Franklin St,,Michigan City,LA PORTE,IN,46360,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #6943,2811 Creek Dr,,Jonesboro,CRAIGHEAD,AR,72401,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #409,42466 Highway 195,,Haleyville,WINSTON,AL,35565,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #3168,2550 Prince St,,Conway,FAULKNER,AR,72034,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #16,2214 Fayetteville Rd,,Van Buren,CRAWFORD,AR,72956,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #4108,4870 Elm Springs Rd,,Springdale,WASHINGTON,AR,72762,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
KROGER PHARMACY 03400950,1600 N 16TH ST,,ORANGE,ORANGE,TX,77630,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
ARKANSAS HEART HOSPITAL,1701 S SHACKELFORD RD,,LITTLE ROCK,PULASKI,AR,72211,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
Cornerstone Drug and Gift,72 Champlain Street,,ROUSES POINT,CLINTON,NY,12979,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Northside Hospital Atlanta,1000 Johnson Ferry Road,,Atlanta,FULTON,GA,30342,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
LOGANSPORT MEMORIAL HOSPITAL,1101 Michigan Avenue,,Logansport,CASS,IN,46947,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
HENRY FORD HOSPITAL - MAIN CAMP,2799 WEST GRAND BLVD,,DETROIT,WAYNE,MI,48202,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM
MEDICINE SHOPPE 1030,70 Dominican Drive,,Laplace,ST JOHN THE BAPTIST,LA,70068,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Contra Costa Reg Med Center,2500 Alhambra Ave (CCRMC hospital),Inpatient Pharmacy,Martinez,CONTRA COSTA,CA,94553,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
Good Samaritan Hospital,520 S. Seventh St.,,VINCENNES,KNOX,IN,47591,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
VM DOWNTOWN MEDICAL CENTER,925 Seneca St,Mailstop H3-PI,Seattle,KING,WA,98101,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
CITY OF HOPE NATIONAL MEDICAL CENTE,1500 DUARTE RD,,DUARTE,LOS ANGELES,CA,91010,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
KAISER SC - BALDWIN PARK MEDICAL CE,1011 BALDWIN PARK BLVD.,,BALDWIN PARK,LOS ANGELES,CA,91706,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
NYP-WEILL CORNELL MEDICAL CTR,512 E 71ST STREET,,NEW YORK,NEW YORK,NY,10021,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
Cape Fear Valley Medical Center,CFVMC Inpatient Pharmacy,1638 Owen Drive,Fayetteville,CUMBERLAND,NC,28304,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
LAC-USC MEDICAL CENTER,1200 N STATE ST RM B2A100,Attention: INpatient Pharmacy,LOS ANGELES,LOS ANGELES,CA,90033,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
DOMINICAN HOSPITAL,1555 Soquel Dr.,,Santa Cruz,SANTA CRUZ,CA,95065,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
ST PETERS HOSPITAL-BIRTH DOSE,Department of Pharmacy,315 S Manning Blvd,Albany,ALBANY,NY,12208,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM
LAC HARBOR-UCLA MEDICAL CENTER,1000 W CARSON ST,Inpatient Pharmacy B403,TORRANCE,LOS ANGELES,CA,90502,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
PIONEERS MEMORIAL HEALTHCARE DISTRI,207 W Legion Rd,,Brawley,IMPERIAL,CA,92227,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
Truman Medical Center Hospital Hill,2301 Holmes,,Kansas City,JACKSON,MO,64108,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM
CALIFORNIA PACIFIC MEDICAL CENTER,1101 VAN NESS AVE INPATIENT,PHARMACY,SAN FRANCISCO,SAN FRANCISCO,CA,94109,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
SAN MATEO MEDICAL CENTER,222 W 39TH AVE,Attention: Pharmacy,SAN MATEO,SAN MATEO,CA,94403,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
OLIVE VIEW UCLA MEDICAL CENTER,14445 OLIVE VIEW DR Room1C-101,Attention IN-Patient PHARMACY,LOS ANGELES,LOS ANGELES,CA,91342,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
Maui Health COVID,221 Mahalani Street,,Wailuku,MAUI,HI,96793,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
MANCHESTER MEMORIAL HOSPITAL,71 Haynes,BSMT,MANCHESTER,HARTFORD,CT,06040,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
HARTFORD HOSPITAL/MAIN HOSPITAL,75 Jefferson St,,Hartford,HARTFORD,CT,06115,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
SIERRA FAMILY MEDICAL,15301 TYLER FOOTE RD,,NEVADA CITY,NEVADA,CA,95959,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
PIEDMONT HOSPITAL,1968 PEACHTREE ROAD NW,Attn:Pharmacy,ATLANTA,FULTON,GA,30308,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
ICARE MOBILE MEDICINE COOPER CITY,2525 EMBASSY DR,SUITE 5,HOLLYWOOD,BROWARD,FL,33026,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
IUH ARNETT HOSPITAL,"5165 MCCARTY LANE, ROOM AG320",ATTN: HOSP INPATIENT PHARM,LAFAYETTE,TIPPECANOE,IN,47905,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
ST VINCENT HOSPITAL AND HEALTH CARE,2001 WEST 86TH STREET,Pharmacy Department,INDIANAPOLIS,MARION,IN,46260,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
COMMUNITY HOSPITAL MUNSTER,901 MACARTHUR BLVD,Pharmacy,MUNSTER,LAKE,IN,46321,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
ELKHART GENERAL HOSPITAL,600 EAST BOULEVARD,,ELKHART,ELKHART,IN,46514,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
IUH METHODIST HOSPITAL,1701 N. SENATE BLVD.,Room BG52,INDIANAPOLIS,MARION,IN,46202,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
HARRISON COUNTY HOSPITAL,1141 HOSPITAL DRIVE NW,,CORYDON,HARRISON,IN,47112,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
COMMUNITY HOSPITAL OF BREMEN,1020 HIGH ROAD,,BREMEN,MARSHALL,IN,46506,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN STREET,,SOUTH BEND,ST JOSEPH,IN,46601,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
ST LUKES PHARMACY CENTRAL BOISE,800 E PARK BLVD,STE 150,BOISE,ADA,ID,83712,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
MERCYONE WATERLOO MEDICAL CENTER,3421 WEST 9TH STREET,ATTN:  6th Floor PHARMACY,WATERLOO,BLACK HAWK,IA,50702,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
ST LUKES HOSP-WOMENS - CHILD. CTR,1026 A AVENUE NE,,CEDAR RAPIDS,LINN,IA,52402,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
Forest View Medical Clinic,6880 S McCarran Blvd Ste A5,,Reno,WASHOE,NV,89509,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
IOWA METHODIST MEDICAL CENTER,1200 PLEASANT ST,ATTENTION PHARMACY,DES MOINES,POLK,IA,50309,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
CHRISTUS SHREVEPORT BOSSIER,1453 E BERT KOUNS INDUSTRIAL LOOP,,SHREVEPORT,CADDO,LA,71105,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
SAINT JOSEPH - LONDON 100281,1001 SAINT JOSEPH LN,,LONDON,LAUREL,KY,40741-0000,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
ESSENTIA HEALTH- ST JOSEPHS MED CTR,523 NORTH 3RD ST,,BRAINERD,CROW WING,MN,56401,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
ESSENTIA HEALTH St. Marys Duluth,420 E 1ST ST,DRUG DISTR CNTR,DULUTH,SAINT LOUIS,MN,55805,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
CENTRACARE CLINIC - MELROSE,525 W MAIN ST,,MELROSE,STEARNS,MN,56352,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
SANFORD PHARMACY 1611 ANNE STREET,1611 ANNE STREET NW,SUITE 1,BEMIDJI,BELTRAMI,MN,56601,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
CHILDRENS MN-MINNEAPOLIS,2525 CHICAGO AVE S,,MINNEAPOLIS,HENNEPIN,MN,55404,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
ESSENTIA HEALTH-VIRGINIA REGIONAL,901 9TH ST N,,VIRGINIA,SAINT LOUIS,MN,55792,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
BRONSON METHODIST HOSPITAL,601 John St.,,Kalamazoo,KALAMAZOO,MI,49007,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM
MGHS - MARQUETTE GENERAL HEALTH SYS,850 W BARAGA AVE,,MARQUETTE,MARQUETTE,MI,49855,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM
The Plaza Pharmacist at Duke Raleig,3400 Wake Forest Road,,Raleigh,WAKE,NC,27609,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
The Plaza Pharmacist at Duke Raleig,3400 Wake Forest Road,,Raleigh,WAKE,NC,27609,0069-1085-30,Paxlovid,12/26/2021 12:00:00 AM
Moose Pharmacy of Mount Holly,125 W Central Ave,,Mount Holly,GASTON,NC,28120,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
TIDALHEALTH PENINSULA REGIONAL,100 E. CARROLL ST,PHARMACY DEPARTMENT,SALISBURY,WICOMICO,MD,21801,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
UNC SHARED SERVICES CENTER,4400 EMPEROR BLVD STE 100,,DURHAM,DURHAM,NC,27703-7659,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
UNC SHARED SERVICES CENTER,4400 EMPEROR BLVD STE 100,,DURHAM,DURHAM,NC,27703-7659,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
SCOTLAND MEMORIAL HOSPITAL,500 LAUCHWOOD DR,ATTN PHARMACY,LAURINBURG,SCOTLAND,NC,28352-0000,0069-1085-30,Paxlovid,12/26/2021 12:00:00 AM
ST. PETERS HOSPITAL,2475 E Broadway St,,Helena,LEWIS AND CLARK,MT,59601,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
DLP FRYE REGIONAL MEDICAL CENTER LL,420 N CENTER ST,,HICKORY,CATAWBA,NC,28601-5033,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
SUNFLOWER DPC CLOSS CT,123 Horner St,,Henderson,VANCE,NC,27536,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
U-SAVE PHARMACY OF NORFOLK INC,1001 W BENJAMIN AVE,,NORFOLK,MADISON,NE,68701,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Riverside Remedies Pharmacy,39 Lower Main St,,Callicoon,SULLIVAN,NY,12723,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Kinney Drugs #27-Illion,40 1st St,,Ilion,HERKIMER,NY,13357,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Kaleida - Buffalo GM Center,100 High Street,,Buffalo,ERIE,NY,14203,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
SISTERS OF CHARITY HOSP OF BUFFALO,2605 Harlem Road,,Cheektowaga,ERIE,NY,14225,0310-7442-02,Evusheld,12/27/2021 12:00:00 AM
Kinney Drugs # 1 - Gouverneur,17 Clinton St,,Gouverneur,SAINT LAWRENCE,NY,13642,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Arnot Ogden Medical Center,600 Roe Ave,Inpatient Pharmacy Dept.,Elmira,CHEMUNG,NY,14905,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
RENAL MEDICINE ASSOCIATES,3821 Masthead ST NE,,ALBUQUERQUE,BERNALILLO,NM,87109-4679,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
MONMOUTH MEDICAL CENTER-LONG BRANCH,300 2ND AVE,ATTENTION PHARMACY,LONG BRANCH,MONMOUTH,NJ,07740,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM
CLARA MAAS MEDICAL CENTER,1 CLARA MAASS DR,ATTENTION PHARMACY,BELLEVILLE,ESSEX,NJ,07109,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM
GOOD SAMARITAN HOSPITAL,3600 NW SAMARITAN DR,GSRMC INPATIENT PHARMACY,CORVALLIS,BENTON,OR,97330-3737,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
BETHESDA NORTH HOSPITAL,10500 MONTGOMERY ROAD,ATTN PHARMACY -KELLY FROST,CINCINNATI,HAMILTON,OH,45242,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM
CLEVELAND CLINIC FOUNDATION,9500 EUCLID AVE,,CLEVELAND,CUYAHOGA,OH,44195-0000,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM
HURON REGIONAL MEDICAL CENTER,172 4TH ST SE,,HURON,BEADLE,SD,57350-0000,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
PENN STATE HERSHEY MEDICAL CENTER,500 UNIVERSITY DRIVE #300,,HERSHEY,DAUPHIN,PA,17033,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
SPARTANBURG REGIONAL MEDICAL CENTER,101 E WOOD ST,Department of Pharmacy,SPARTANBURG,SPARTANBURG,SC,29303,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
ASCENSION SETON BASTROP,630 W SH 71,,BASTROP,BASTROP,TX,78602,0310-7442-02,Evusheld,12/26/2021 12:00:00 AM
UTMB LEAGUE CITY,2240 GULF FWY S,,LEAGUE CITY,GALVESTON,TX,77573,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
BROOKSHIRES PHARMACY 73 MONTGOMERY,21005 EVA ST,,MONTGOMERY,MONTGOMERY,TX,77356,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM
ASCENSION SETON HAYS,6001 KYLE PKWY,ATTN PHARMACY,KYLE,HAYS,TX,78640,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM
COLUMBIA ST. MARYS - OZAUKEE CAMPUS,13111 N PORT WASHINGTON RD,,MEQUON,OZAUKEE,WI,53097,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
UVA HEALTH SYSTEM,1215 Lee St,ATTN: Inpatient Pharmacy,Charlottesville,CHARLOTTESVILLE CITY,VA,22908,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM
SOUTHWESTERN VERMONT MEDICAL CENTER,100 HOSPITAL DRIVE,,BENNINGTON,BENNINGTON,VT,05201,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
RHEUMATOLOGY AND AUTOIMMUNE CENTER,14100 SE 36TH STREET SUITE 105,,BELLEVUE,KING,WA,98006,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
UW MEDICAL CENTER,1550 N 115TH ST.,B-210,SEATTLE,KING,WA,98133,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
CORNING HOSPITAL,1 Guthrie Drive,,Corning,STEUBEN,NY,14830,0310-7442-02,Evusheld,12/27/2021 12:00:00 AM
CHRISTUS HEALTH ST ELIZABETH HOSPIT,2830 Calder Ave,,Beaumont,JEFFERSON,TX,77702,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
PARKVIEW REGIONAL MEDICAL CENTER,11109 Parkview Plaza Drive,,Fort Wayne,ALLEN,IN,46845,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Henry County Hospital,1000 N. 16th Street,,Newcastle,HENRY,IN,47362,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Kaleida - Degraff Memorial Hospital,445 Tremont Street,,North Tonawanda,NIAGARA,NY,14120,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
Kenmore Rx Center,2818 Delaware Ave,,KENMORE,ERIE,NY,14217,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Kinney Drugs # 25- St. Johnsville,12 Park Place,,St. Johnsville,MONTGOMERY,NY,13452,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
ADVENTIST HEALTH ST HELENA HOSPITAL,10 Woodland Rd.,,St Helena,NAPA,CA,94574,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
MOUNTAIN VIEW HOSPITAL,2250 Coronado St.,,Idaho Falls,BONNEVILLE,ID,83404,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,,EL CENTRO,IMPERIAL,CA,92243,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Moriah Pharmacy,4315 MAIN ST,,Port Henry,ESSEX,NY,12974,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Sinclair Pharmacy,75 North Main Street,,Warsaw,WYOMING,NY,14569,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
ST AGNES HOSPITAL,430 East Division Street,,Fond du Lac,FOND DU LAC,WI,54935,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
SANFORD USD MEDICAL CENTER,1305 W. 18th Street,,Sioux Falls,MINNEHAHA,SD,57117,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
SANFORD USD MEDICAL CENTER,1305 W. 18th Street,,Sioux Falls,MINNEHAHA,SD,57117,0310-7442-02,Evusheld,12/18/2021 12:00:00 AM
Sutter Med Center Sac,2825 Capitol Ave,,Sacramento,SACRAMENTO,CA,95816,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
COMMUNITY PHARMACY,2123 Forsythe Avenue,,Monroe,OUACHITA,LA,71201,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Amber Specialty,3103 Clairmont Road NE,Suite A,Atlanta,DEKALB,GA,30329,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
BOLTONS PHARMACY,128 W. Main Street,,Watertown,JEFFERSON,NY,13601,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Indian Health Board of Minneapolis,1315 E 24th St,,Minneapolis,HENNEPIN,MN,55404,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Medina Memorial Hospital,200 Ohio Street,,Medina,ORLEANS,NY,14103,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
CAMDEN CLARK MEDICAL CENTER,800 GARFIELD AVENUE,,PARKERSBURG,WOOD,WV,26101,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
PEOPLE DRUG STORE,7869 Main Street,,Houma,TERREBONNE,LA,70360,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
MAURY REGIONAL CANCER CENTER,808 South Campbell Blvd,Pharmacy,Columbia,MAURY,TN,38401,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
MEMORIAL HOSPITAL AND HEALTH CARE,800 W 9th St,Pharmacy Dept,Jasper,DUBOIS,IN,47546,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
UW MEDICAL CENTER,1959 NE Pacific Street,EA151-J1,Seattle,KING,WA,98195,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
VMFH SJMC - TACOMA,1717 S. J. St,,Tacoma,PIERCE,WA,98405,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
VMFH SJMC - TACOMA,1717 S. J. St,,Tacoma,PIERCE,WA,98405,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
U-SAVE PHARMACY-KEARNEY,3611 2nd Ave,,Kearney,BUFFALO,NE,68847,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Brunswick Medical Center,240 Hospital Dr,,Bolivia,BRUNSWICK,NC,28422,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
WEST PARK HOSPITAL,707 Sheridan Ave,,Cody,PARK,WY,82414,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
KAISER PERM SUPPLY MAIN,2921 Naches Ave SW,Bldg B,Renton,KING,WA,98057-2617,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
BALLAD HLTH CANCER CARE DEPT IPCH,2202 N John B Dennis Hwy,Pharmacy,Kingsport,SULLIVAN,TN,37660,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
Pharmerica Las Vegas,3825 W. Cheyenne Ave,#603,North Las Vegas,CLARK,NV,89032,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
LESTER E COX MED CTR,3801 S NATIONAL AVE,,SPRINGFIELD,GREENE,MO,65807-5210,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM
UNIVERSITY OF LOUISVILLE HOSPITAL,530 S. Jackson Street,,Louisville,JEFFERSON,KY,40202,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
